Hugtök: is,Val: is,Orðaflokkur: is,Kyn,Tala: is,Skilgreining: is,Skýring: is,Dæmi: is,Samheiti: is,Heimild: is,Sérsvið: is,Vísun/sjá einnig: is,Hugtak: en,Val: en,Skilgreining: en,Skýring: en,Dæmi: en,Samheiti: en,Heimild: en,Sérsvið: en,Vísun/sjá einnig: en,id
grúpumynstur,,na,hk,Eintala,,,,,,,,group structure,,,,,,,,,1749
grúpuríki,,na,hk,Eintala,,,,,,,,category of groups,,,,,,,,,1750
grúputafla,,na,kvk,Eintala,,,,,,,,group table,,,,,,,,,1751
"grúpuútvíkkun, grúpuvíkkun",,na,kvk,Eintala,,,,,,,,group extension,,,,,,,,,1752
"grúpuverkun, verkun grúpu",,na,kvk,Eintala,,,,,,,,"group action, group operation",,,,,,,,,1753
"grúpuverkun, verkun grúpu",,na,kvk,Eintala,,,,,,,,"group operation, group operation",,,,,,,,,1754
grýpi,,na,hk,Eintala,,,,,,,,groupoid,,,,,,,,,1755
gullinn rétthyrningur,,na,kk,Eintala,,,,,,,,golden rectangle,,,,,,,,,1756
gullinsnið,,na,hk,Eintala,,,,,,,,golden section,,,,,,,,,1757
"há-, óstækkanlegur",,,,,,,,,,,,maximal,,,,,,,,,1758
Haar-mál,,na,hk,Eintala,,,,,,,,Haar measure,,,,,,,,,1759
háðar hendingar,,na,kvk,Fleirtala,,,,,,,,"dependent random variables, dependent variates",,,,,,,,,1760
háðir atburðir,,na,kk,Fleirtala,,,,,,,,"dependent events, stochastically dependent events",,,,,,,,,1761
háður,,ls,kk,Eintala,,,,,,,"algebraically dependent, linearly dependent",dependent,,,,,,,,,1762
hæð,,na,kvk,Eintala,,,,,,,,"altitude, height",,,,,,,,,1763
hæðafótpunktaþríhyrningur,,na,kk,Eintala,,,,,,,,"orthic triangle, orthoptic triangle",,,,,,,,,1764
hæðarflötur,,na,kk,Eintala,,,,,,,,"contour surface, level surface",,,,,,,,,1765
hæðarlína,,na,kvk,Eintala,,,,,,,,"first principal line, height line",,,,,,,,,1766
"hæðarlína, hæðarferill",,na,,Eintala,,,,,,,,"contour line, depth contour, height contour, height line, isobath, isohypse, level curve, level line",,,,,,,,,1767
hæðarsetning,,na,kvk,Eintala,,,,,,,,(of a right triangle) altitude theorem,,,,,,,,,1768
hæðarslétta,,na,kvk,Eintala,,,,,,,,"first principal plane, height plane",,,,,,,,,1769
hæðasetning,,na,kvk,Eintala,,,,,,,,altitude theorem,,,,,,,,,1770
"hæðaskurðpunktur, hæðapunktur",,na,kk,Eintala,,,,,,,,"orthocentre, orthocenter",,,,,,,,,1771
hæði,,na,hk,Eintala,,,,,,,,dependence,,,,,,,,,1772
hægra einingarstak,,na,hk,Eintala,,,,,,,,right identity,,,,,,,,,1773
hægra hjámengi,,na,hk,Eintala,,,,,,,,right coset,,,,,,,,,1774
hægra íðal,,na,hk,Eintala,,,,,,,one-sided ideal,right ideal,,,,,,,,,1775
hægri aðoki,,na,kk,Eintala,,,,,,,"left adjoint, right-adjoint",right adjoint,,,,,,,,,1776
"hægri afleiða, afleiða frá hægri",,na,kvk,Eintala,,,,,,,,"derivative on the right, forward derivative, right derivative, right-hand derivative, right-handed derivative",,,,,,,,,1777
"hægri andhverfa, andhverfa frá hægri",,na,kvk,Eintala,,,,,,,,(of a mapping) right inverse,,,,,,,,,1778
"hægri deildanleiki, deildanleiki frá hægri, hægri diffranleiki, diffranleiki frá hægri",,na,kk,Eintala,,,,,,,,"differentiability on the right, forward differentiability, right differentiability, right-hand differentiability",,,,,,,,,1779
hægri dreifiregla,,na,kvk,Eintala,,,,,,,,right distributive law,,,,,,,,,1780
hægri endapunktur,,na,kk,Eintala,,,,,,,,"right end point, right extremity",,,,,,,,,1781
hægri grennd,,na,kvk,Eintala,,,,,,,,neighbourhood on the right,,,,,,,,,1782
hægri handar hnitakerfi,,na,hk,Eintala,,,,,,,,right-handed coordinate system,,,,,,,,,1783
hægri hávísir,,na,kk,Eintala,,,,,,,,post-superscript,,,,,,,,,1784
hægri hlið,,na,kvk,Eintala,,,,,,,,"right-hand side, right side",,,,,,,,,1785
hægri hornklofi,,na,kk,Eintala,,,,,,,,right bracket,,,,,,,,,1786
hægri lágvísir,,na,kk,Eintala,,,,,,,,post-subscript,,,,,,,,,1787
hægri mótull,,na,kk,Eintala,,,,,,,,right module,,,,,,,,,1788
hægri oddklofi,,na,kk,Eintala,,,,,,,pointed bracket,right pointed bracket,,,,,,,,,1789
hægri oddsvigi,,na,kk,Eintala,,,,,,,,"right brace, right curly bracket",,,,,,,,,1790
hægri samsemdarmótun,,na,kvk,Eintala,,,,,,,,right identity,,,,,,,,,1791
hægri svigi,,na,kk,Eintala,,,,,,,,right parenthesis,,,,,,,,,1792
"hægri umhverfa, umhverfa frá hægri, hægri andhverfa, andhverfa frá hægri",,na,kvk,Eintala,,,,,,,,(with respect to an operation) right inverse,,,,,,,,,1793
hægrisnúin skrúflína,,na,kvk,Eintala,,,,,,,,"dextrorse helix, right-handed helix",,,,,,,,,1794
hægrisnúinn,,ls,kk,Eintala,,,,,,,,dextrorse,,,,,,,,,1795
hægrisnúinn ferill,,na,kk,Eintala,,,,,,,,"dextrorse curve, right-handed curve",,,,,,,,,1796
"hægvaxandi, hægstígandi",,ls,,Eintala,,,,,,,,slowly increasing,,,,,,,,,1797
hækka upp,,sag,,,,,,,,,,round up,,,,,,,,,1798
hækkun,,na,kvk,Eintala,,,,,,,,"round-up, rounding up",,,,,,,,,1799
hækkunarskekkja,,na,kvk,Eintala,,,,,,,,round-up error,,,,,,,,,1800
hærri afleiða,,na,kvk,Eintala,,,,,,,,"derivative of higher order, higher derivative, higher-order derivative",,,,,,,,,1801
"hærri liður, liður af hærri röð, liður af hærra stigi",,na,kk,Eintala,,,,,,,,higher-order term,,,,,,,,,1802
"hæsta stig, hástig",,na,hk,Eintala,,,,,,,,"maximal degree, maximal valency",,,,,,,,,1803
hafa (lausn),,sag,,,,,,,,,,(a solution) admit,,,,,,,,,1804
"hafa í för með sér, leiða af sér, leiða til",,sag,,,,,,,,,,"entail, implicate, imply",,,,,,,,,1805
háflötur,,na,kk,Eintala,,,,,,,,hypersurface,,,,,,,,,1806
"hafna, vísa frá",,sag,,,,,,,,,,reject,,,,,,,,,1807
hágildispunktur,,na,kk,Eintala,,,,,,,,maximum point,,,,,,,,,1808
"hágildissetning, hágildislögmál",,na,,Eintala,,,,,,,,"(for potentials) maximum principle, principle of maximum",,,,,,,,,1809
"hágildissetning, hágildislögmál, háalgildissetning, háalgildislögmál",,na,,Eintala,,,,,,,,"(for holomorphic functions) maximum principle, maximum modulus principle, principle of maximum",,,,,,,,,1810
hagstæður atburður,,na,kk,Eintala,,,,,,,,favourable event,,,,,,,,,1811
hagstætt tilfelli,,na,hk,Eintala,,,,,,,,favourable case,,,,,,,,,1812
hagtölfræði,,na,kvk,Eintala,,,,,,,,econometrics,,,,,,,,,1813
"háíðal, óstækkanlegt íðal",,na,hk,Eintala,,,,,,,,maximal ideal,,,,,,,,,1814
háíðalarúm,,na,hk,Eintala,,,,,,,,maximal ideal space,,,,,,,,,1815
"hákeðja, óstækkanleg keðja",,na,kvk,Eintala,,,,,,,,maximal chain,,,,,,,,,1816
hákeðjulögmál Hausdorffs,,na,hk,Eintala,,,,,,,,"Hausdorff maximal principle, maximal chain principle",,,,,,,,,1817
hálágmark,,na,hk,Eintala,,,,,,,,minimax,,,,,,,,,1818
hálágmarkslausn,,na,kvk,Eintala,,,,,,,,minimax solution,,,,,,,,,1819
"hálágmarksleikáætlun, hálágmarksáætlun",,na,kvk,Eintala,,,,,,,,minimax strategy,,,,,,,,,1820
"hálágmarkslögmál, fjalldalaregla",,na,,Eintala,,,,,,,,"maximum-minimum principle, minimax principle",,,,,,,,,1821
hálágmarkssetning,,na,kvk,Eintala,,,,,,,,minimax theorem,,,,,,,,,1822
haldagripur,,na,kk,Eintala,,,,,,,sphere with handles,handlebody,,,,,,,,,1823
"haldahvel, kúluhvel með handföngum",,na,hk,Eintala,,,,,,,handlebody,sphere with handles,,,,,,,,,1824
"hálf lota, hálflota",,na,kvk,Eintala,,,,,,,,half-period,,,,,,,,,1825
"hálf-, næstum",,,,,,,,,,,,quasi-,,,,,,,,,1826
hálfákveðinn,,ls,kk,Eintala,,,,,,,,semidefinite,,,,,,,,,1827
hálfás,,na,kk,Eintala,,,,,,,,semi-axis,,,,,,,,,1828
hálfbaugur,,na,kk,Eintala,,,,,,,,semi-ring,,,,,,,,,1829
hálfeinfaldur,,ls,kk,Eintala,,,,,,,,semisimple,,,,,,,,,1830
hálffirð,,na,kvk,Eintala,,,,,,,,quasi-metric,,,,,,,,,1831
hálffleygaður varpi,,na,kk,Eintala,,,,,,,,half-exact functor,,,,,,,,,1832
"hálfgildingsfirð, gervifirð",,na,kvk,Eintala,,,,,,,,"pseudo-metric, semimetric",,,,,,,,,1833
hálfgrúpa,,na,kvk,Eintala,,,,,,,monoid,"demigroup, hemigroup, semigroup",,,,,,,,,1834
hálfgrúpumótun,,na,kvk,Eintala,,,,,,,,semigroup homomorphism,,,,,,,,,1835
hálfhliðarregla,,na,kvk,Eintala,,,,,,,,half-side formula,,,,,,,,,1836
hálfhornrækinn,,ls,kk,Eintala,,,,,,,,quasi-conformal,,,,,,,,,1837
hálfhringur,,na,kk,Eintala,,,,,,,,semicircle,,,,,,,,,1838
hálfhvel,,na,hk,Eintala,,,,,,,,hemisphere,,,,,,,,,1839
hálflína,,na,kvk,Eintala,,,,,,,,"half-line, ray",,,,,,,,,1840
hálflínulegur,,ls,kk,Eintala,,,,,,,,semilinear,,,,,,,,,1841
hálflograpappír,,na,kk,Eintala,,,,,,,,semilogarithmic paper,,,,,,,,,1842
hálflokað bil,,na,hk,Eintala,,,,,,,half-open interval,"half-closed interval, semi-closed interval",,,,,,,,,1843
hálfopið bil,,na,hk,Eintala,,,,,,,half-closed interval,"half-open interval, semi-open interval",,,,,,,,,1844
hálfrúm,,na,hk,Eintala,,,,,,,,half-space,,,,,,,,,1845
hálfsamfelldni,,na,kvk,Eintala,,,,,,,,semicontinuity,,,,,,,,,1846
hálfsamfelldur,,ls,kk,Eintala,,,,,,,,semicontinuous,,,,,,,,,1847
hálfsamfelldur að neðan,,ls,kk,Eintala,,,,,,,,"lower semi-continuous, lower continuous",,,,,,,,,1848
hálfsamfelldur að ofan,,ls,kk,Eintala,,,,,,,,"upper semi-continuous, upper continuous",,,,,,,,,1849
hálfslétta,,na,kvk,Eintala,,,,,,,,half-plane,,,,,,,,,1850
"hálfstaðall, hálfgildingsstaðall",,na,kk,Eintala,,,,,,,,"pseudonorm, seminorm",,,,,,,,,1851
hálfstig,,na,hk,Eintala,,,,,,,"in-degree, out-degree",semi-degree,,,,,,,,,1852
hálftvílínulegur,,ls,kk,Eintala,,,,,,,,sesquilinear,,,,,,,,,1853
hálfur langás,,na,kk,Eintala,,,,,,,major axis,semimajor axis,,,,,,,,,1854
hálfur meginás,,na,kk,Eintala,,,,,,,transverse axis,semitransverse axis,,,,,,,,,1855
hálfur miðstrengur,,na,kk,Eintala,,,,,,,,(of a conic) semi-diameter,,,,,,,,,1856
hálfur skammás,,na,kk,Eintala,,,,,,,minor axis,semiminor axis,,,,,,,,,1857
hálfur þverás,,na,kk,Eintala,,,,,,,conjugate axis,semiconjugate axis,,,,,,,,,1858
hali,,na,kk,Eintala,,,,,,,heads or tails,tail,,,,,,,,,1859
hallahorn,,na,hk,Eintala,,,,,,,,slope angle,,,,,,,,,1860
halli,,na,kk,Eintala,,,,,,,"inclination, slope",grade,,,,,,,,,1861
halli,,na,kk,Eintala,,,,,,,"grade, slope",inclination,,,,,,,,,1862
"halli, hallatala",,na,,Eintala,,,,,,,"grade, inclination",slope,,,,,,,,,1863
hámarka,,sag,,,,,,,,,,maximize,,,,,,,,,1864
hámarkalágmörkun,,na,kvk,Eintala,,,,,,,,minimax,,,,,,,,,1865
"hámarksleikáætlun, hámarksáætlun",,na,kvk,Eintala,,,,,,,optimum strategy,maximum strategy,,,,,,,,,1866
hámarksskekkja,,na,kvk,Eintala,,,,,,,,"limit of error, maximum error, limiting error",,,,,,,,,1867
hámarksstaðall,,na,kk,Eintala,,,,,,,,supremum norm,,,,,,,,,1868
hamfarafræði,,na,kvk,Eintala,,,,,,,,catastrophe theory,,,,,,,,,1869
hamför,,na,kvk,Eintala,,,,,,,,catastrophe,,,,,,,,,1870
Hamilton-fertala,,na,kvk,Eintala,,,,,,,quaternion,Hamilton quaternion,,,,,,,,,1871
Hamilton-rás,,na,kvk,Eintala,,,,,,,,"Hamilton circuit, Hamilton cycle, hamiltonian circuit, hamiltonian cycle",,,,,,,,,1872
Hamilton-vegur,,na,kk,Eintala,,,,,,,,hamiltonian path,,,,,,,,,1873
Hamilton-virki,,na,kk,Eintala,,,,,,,,Hamiltonian,,,,,,,,,1874
hámörkun,,na,kvk,Eintala,,,,,,,,maximization,,,,,,,,,1875
handfang,,na,hk,Eintala,,,,,,,,handle,,,,,,,,,1876
happ,,na,hk,Eintala,,,,,,,,success,,,,,,,,,1877
harðger,,ls,,Eintala,,,,,,,,robust,,,,,,,,,1878
háreisn,,na,kvk,Eintala,,,,,,,,"leptokurtosis, peakedness",,,,,,,,,1879
háreistur,,ls,kk,Eintala,,,,,,,"kurtosis, mesokurtic, platikurtic","leptokurtic, peaked",,,,,,,,,1880
Hartogs-svæði,,na,hk,Eintala,,,,,,,,Hartogs domain,,,,,,,,,1881
háslétta,,na,kvk,Eintala,,,,,,,,hyperplane,,,,,,,,,1882
"hástak, óstækkanlegt stak",,na,hk,Eintala,,,,,,,,maximal element,,,,,,,,,1883
háttargrind,,na,kvk,Eintala,,,,,,,,modular lattice,,,,,,,,,1884
háttarlögmál,,na,hk,Eintala,,,,,,,,"modular identity, modular axiom, modular law",,,,,,,,,1885
háttarökfræði,,na,kvk,Eintala,,,,,,,,modal logic,,,,,,,,,1886
háttur,,na,kk,Eintala,,,,,,,,"modality, mode",,,,,,,,,1887
haus eða sporður,,,,,,,,,,,,heads or tails,,,,,,,,,1888
Hausdorff-grannmynstur,,na,hk,Eintala,,,,,,,,Hausdorff topology,,,,,,,,,1889
Hausdorff-rúm,,na,hk,Eintala,,,,,,,,"Hausdorff space, separated space",,,,,,,,,1890
Hausdorff-vídd,,na,kvk,Eintala,,,,,,,,Hausdorff dimension,,,,,,,,,1891
"hávísir, brjóstvísir",,na,kk,Eintala,,,,,,,,"superscript, upper index",,,,,,,,,1892
hefja (í veldi),,sag,,,,,,,,,,(to a power) raise,,,,,,,,,1893
hefja í annað veldi,,sag,,,,,,,,,,square,,,,,,,,,1894
heil línuleg færsla,,na,kvk,Eintala,,,,,,,,entire linear transformation,,,,,,,,,1895
"heil tala, heiltala",,na,kvk,Eintala,,,,,,,algebraic integer,"integer, integral number, rational integer, whole number",,,,,,,,,1896
heil veldaröð,,na,kvk,Eintala,,,,,,,,entire power series,,,,,,,,,1897
heilbaugur,,na,kk,Eintala,,,,,,,,"(in algebra) domain, domain of integrity, entire ring, integral domain, integral ring",,,,,,,,,1898
heild,,na,kvk,Eintala,,,,,,,,whole,,,,,,,,,1899
"heilda-, heildunar-, heildis-, tegur-",,pref,,,,,,,,,,integral,,,,,,,,,1900
"heilda, tegra",,sag,,,,,,,,,,integrate,,,,,,,,,1901
"heildajafna, tegurjafna",,na,kvk,Eintala,,,,,,,,integral equation,,,,,,,,,1902
"heildanlegur, tegranlegur",,ls,kk,Eintala,,,,,,,,integrable,,,,,,,,,1903
"heildanleikaskilyrði, tegranleikaskilyrði",,na,hk,Eintala,,,,,,,,integrability condition,,,,,,,,,1904
"heildanleiki, tegranleiki",,na,kk,Eintala,,,,,,,,integrability,,,,,,,,,1905
heildarafleiða,,na,kvk,Eintala,,,,,,,derivative,total derivative,,,,,,,,,1906
"heildareikningur, tegurreikningur",,na,kk,Eintala,,,,,,,"differential and integral calculus, integration theory",integral calculus,,,,,,,,,1907
heildarfylgni,,na,kvk,Eintala,,,,,,,,"overall correlation, total correlation",,,,,,,,,1908
"heildari, tegrari",,na,kk,Eintala,,,,,,,,(in a Stieltes integral) integrator,,,,,,,,,1909
"heildarlausn, almenn lausn, fullkomin lausn",,na,kvk,Eintala,,,,,,,,"complete solution, general solution",,,,,,,,,1910
heildarskekkja,,na,kvk,Eintala,,,,,,,,total error,,,,,,,,,1911
heildarsumma,,na,kvk,Eintala,,,,,,,,grand total,,,,,,,,,1912
"heildarsumma, lokasumma",,na,kvk,Eintala,,,,,,,,"total, total sum",,,,,,,,,1913
heildarvik,,na,hk,Eintala,,,,,,,,total variation,,,,,,,,,1914
"heildi, tegur",,na,hk,Eintala,,,,,,,,integral,,,,,,,,,1915
"heildisfærsla, heildismyndun, heildisummyndun, tegurfærsla, tegurmyndun, tegurummyndun",,na,kvk,Eintala,,,,,,,,integral transform,,,,,,,,,1916
"heildisformúla, tegurformúla",,na,kvk,Eintala,,,,,,,,integral formula,,,,,,,,,1917
"heildismælir, tegurmælir",,na,kk,Eintala,,,,,,,,integrimeter,,,,,,,,,1918
"heildispróf, tegurpróf",,na,hk,Eintala,,,,,,,,"integral convergence test, integral test",,,,,,,,,1919
"heildissetning, tegursetning",,na,kvk,Eintala,,,,,,,,integral theorem,,,,,,,,,1920
"heildisstofn, tegurstofn",,na,kk,Eintala,,,,,,,,integrand,,,,,,,,,1921
"heildisteiknari, tegurteiknari",,na,kk,Eintala,,,,,,,,integraph,,,,,,,,,1922
heildisvíðátta,,na,kvk,Eintala,,,,,,,,integral manifold,,,,,,,,,1923
"heildisvirki, heildunarvirki, tegurvirki, tegrunarvirki",,na,kk,Eintala,,,,,,,,integral operator,,,,,,,,,1924
"heildun með innsetningu, tegrun með innsetningu, innsetningaraðferð",,na,kvk,Eintala,,,,,,,,integration by substitution,,,,,,,,,1925
"heildun, tegrun",,na,kvk,Eintala,,,,,,,quadrature,integration,,,,,,,,,1926
"heildunarbil, tegrunarbil",,na,hk,Eintala,,,,,,,,integration interval,,,,,,,,,1927
"heildunarbreyta, tegrunarbreyta",,na,kvk,Eintala,,,,,,,,integration variable,,,,,,,,,1928
"heildunarfasti, tegrunarfasti",,na,kk,Eintala,,,,,,,,integration constant,,,,,,,,,1929
"heildunarferill, heildunarvegur, tegrunarferill, tegrunarvegur",,na,kk,Eintala,,,,,,,,path of integration,,,,,,,,,1930
"heildunarfræði, tegurfræði",,na,kvk,Eintala,,,,,,,,integration theory,,,,,,,,,1931
"heildunarsvæði, tegrunarsvæði",,na,hk,Eintala,,,,,,,,domain of integration,,,,,,,,,1932
"heildunarvirki, tegrunarvirki",,na,kk,Eintala,,,,,,,,integration operator,,,,,,,,,1933
"heildunarþáttur, tegrunarþáttur",,na,kk,Eintala,,,,,,,,integrating factor,,,,,,,,,1934
heill,,ls,kk,Eintala,,,,,,,,"entire, integral",,,,,,,,,1935
heill snúningur,,na,kk,Eintala,,,,,,,,revolution,,,,,,,,,1936
heilleg lokun,,na,kvk,Eintala,,,,,,,,integral closure,,,,,,,,,1937
"heilleg útvíkkun, heilleg baugsútvíkkun, heilleg víkkun, heilleg baugsvíkkun",,na,kvk,Eintala,,,,,,,,"integral extension, integral ring extension",,,,,,,,,1938
heillega lokaður,,ls,kk,Eintala,,,,,,,,integrally closed,,,,,,,,,1939
heillegur,,ls,kk,Eintala,,,,,,,"integral closure, integral extension",integral,,,,,,,,,1940
heilsteypt grúpa,,na,kvk,Eintala,,,,,,,,perfect group,,,,,,,,,1941
heilsteypt mengi,,na,hk,Eintala,,,,,,,,perfect set,,,,,,,,,1942
heilsteypt net,,na,hk,Eintala,,,,,,,,perfect graph,,,,,,,,,1943
heilsteyptur töfraferningur,,na,kk,Eintala,,,,,,,,"diabolic magic square, pandiagonal magic square, perfect magic square",,,,,,,,,1944
"heilsteyptur, fullgerður",,ls,kk,Eintala,,,,,,,,perfect,,,,,,,,,1945
heilt fall,,na,hk,Eintala,,,,,,,,"entire function, integral function",,,,,,,,,1946
"heilt margfeldi, margfeldi",,na,hk,Eintala,,,,,,,,"integral multiple, multiple",,,,,,,,,1947
"heilt rætt fall, margliða",,na,,Eintala,,,,,,,,"entire rational function, polynomial",,,,,,,,,1948
"heilt stak, heilstak",,na,hk,Eintala,,,,,,,,integral element,,,,,,,,,1949
heiltölubestun,,na,kvk,Eintala,,,,,,,,integer programming,,,,,,,,,1950
heiltölufylki,,na,hk,Eintala,,,,,,,,integral matrix,,,,,,,,,1951
heiltölugildur,,ls,kk,Eintala,,,,,,,,integer-valued,,,,,,,,,1952
heiltöluhjúpur,,na,kk,Eintala,,,,,,,,integer hull,,,,,,,,,1953
"heiltöluhlutafall, gólffall",,na,hk,Eintala,,,,,,,"entier, integer part, integral part, ceiling function","floor function, greatest integer function, square bracket function",,,,,,,,,1954
heiltöluhluti,,na,kk,Eintala,,,,,,,"floor function, greatest integer function, square bracket function","entier, integer part, integral part",,,,,,,,,1955
heiltölulausn,,na,kvk,Eintala,,,,,,,,integer solution,,,,,,,,,1956
heimfærð stærðfræði,,na,kvk,Eintala,,,,,,,,applied mathematics,,,,,,,,,1957
heimfærður,,ls,kk,Eintala,,,,,,,,applied,,,,,,,,,1958
heiti,,na,hk,Eintala,,,,,,,,(in logic) term,,,,,,,,,1959
helminga,,sag,,,,,,,,,,bisect,,,,,,,,,1960
helmingalína,,na,kvk,Eintala,,,,,,,,"bisecting line, bisector, bisectrix",,,,,,,,,1961
helmingalína horns,,na,kvk,Eintala,,,,,,,bisector,angle bisector,,,,,,,,,1962
helmingaslétta,,na,kvk,Eintala,,,,,,,,bisecting plane,,,,,,,,,1963
helmingun,,na,kvk,Eintala,,,,,,,,"bisection, halving",,,,,,,,,1964
"hending, slembibreyta, slembistærð, slemba",,na,kvk,Eintala,,,,,,,,"aleatory variable, chance variable, random variable, stochastic variable, variate",,,,,,,,,1965
"herma, meðsveiflun",,na,kvk,Eintala,,,,,,,,resonance,,,,,,,,,1966
herming,,na,kvk,Eintala,,,,,,,,simulation,,,,,,,,,1967
"hermísk firð, Hermite-firð",,na,kvk,Eintala,,,,,,,,hermitian metric,,,,,,,,,1968
"hermískt form, Hermite-form",,na,hk,Eintala,,,,,,,"antihermitian form, antihermitian sesquilinear form, hermitian inner product, inner product, scalar product","hermitian sesquilinear form, hermitian bilinear form, hermitian form",,,,,,,,,1969
"hermískt innfeldi, innfeldi",,na,hk,Eintala,,,,,,,"euclidean inner product, hermitian sesquilinear form","hermitian inner product, inner product, scalar product",,,,,,,,,1970
"hermískt innfeldisrúm, hermískt rúm, innfeldisrúm",,na,hk,Eintala,,,,,,,euclidean inner product space,"hermitian inner product space, hermitian space, inner product space, unitary space",,,,,,,,,1971
hermískur,,ls,kk,Eintala,,Einnig ritað með upphafsstaf: {\it Hermitian},,,,,self-adjoint,hermitian,,,,,,,,,1972
hermískur virki,,na,kk,Eintala,,,,,,,symmetric operator,hermitian operator,,,,,,,,,1973
Heronsregla,,na,kvk,Eintala,,,,,,,,Heron's formula,,,,,,,,,1974
"herping, samdráttur",,na,,Eintala,,,,,,,,"contraction, contractive mapping",,,,,,,,,1975
Hesse-ákveða,,na,kvk,Eintala,,,,,,,,"Hessian determinant, Hessian",,,,,,,,,1976
Hesse-fylki,,na,hk,Eintala,,,,,,,,Hessian matrix,,,,,,,,,1977
Hilbert-rúm,,na,hk,Eintala,,,,,,,,Hilbert space,,,,,,,,,1978
Hilbert-teningur,,na,kk,Eintala,,,,,,,,Hilbert cube,,,,,,,,,1979
"himinaflfræði, himinhreyfingafræði, hnatthreyfingafræði",,na,kvk,Eintala,,,,,,,,celestial mechanics,,,,,,,,,1980
"himinhvel, himinhvolf, himinhvelfing, himinkúla",,na,hk,Eintala,,,,,,,,celestial sphere,,,,,,,,,1981
hindranafræði,,na,kvk,Eintala,,,,,,,,obstruction theory,,,,,,,,,1982
hindrun,,na,kvk,Eintala,,,,,,,,obstruction,,,,,,,,,1983
"hitajafna, varmaleiðnijafna",,na,kvk,Eintala,,,,,,,,heat equation,,,,,,,,,1984
"hjáaðoka, aðoka frá hægri",,ls,,Eintala,,,,,,,"adjoint, left-adjoint","coadjoint, right-adjoint",,,,,,,,,1985
hjáalgebra,,na,kvk,Eintala,,,,,,,,coalgebra,,,,,,,,,1986
hjáendanlegur,,ls,kk,Eintala,,,,,,,,cofinite,,,,,,,,,1987
hjágrúpa,,na,kvk,Eintala,,,,,,,,cogroup,,,,,,,,,1988
"hjáhæð, dýpt",,na,kvk,Eintala,,,,,,,,"coheight, depth",,,,,,,,,1989
hjájaðar,,na,kk,Eintala,,,,,,,,coboundary,,,,,,,,,1990
hjájaðarvirki,,na,kk,Eintala,,,,,,,,coboundary operator,,,,,,,,,1991
hjájaðra,,ls,,Eintala,,,,,,,,cobordant,,,,,,,,,1992
hjájöðrun,,na,kvk,Eintala,,,,,,,,cobordism,,,,,,,,,1993
hjákarteskur ferningur,,na,kk,Eintala,,,,,,,,"cocartesian square, push-out diagram",,,,,,,,,1994
hjákeðja,,na,kvk,Eintala,,,,,,,,cochain,,,,,,,,,1995
hjákeðjufléttingur,,na,kk,Eintala,,,,,,,,cochain complex,,,,,,,,,1996
hjákjarni,,na,kk,Eintala,,,,,,,,cokernel,,,,,,,,,1997
hjálokaður,,ls,kk,Eintala,,,,,,,,coclosed,,,,,,,,,1998
hjálparlína,,na,kvk,Eintala,,,,,,,,auxiliary line,,,,,,,,,1999
hjálparsetning,,na,kvk,Eintala,,,,,,,,lemma,,,,,,,,,2000
hjálparsetning Zorns,,na,kvk,Eintala,,,,,,,,"principle of Zorn, Zorn's lemma",,,,,,,,,2001
hjámagurt mengi,,na,hk,Eintala,,,,,,,,residual set,,,,,,,,,2002
"hjámargfeldi, summa",,na,,Eintala,,,,,,,direct sum,"coproduct, sum",,,,,,,,,2003
hjámengi,,na,hk,Eintala,,,,,,,residue class,coset,,,,,,,,,2004
hjámynd,,na,kvk,Eintala,,,,,,,,coimage,,,,,,,,,2005
hjárás,,na,kvk,Eintala,,,,,,,,cocycle,,,,,,,,,2006
hjartaferill,,na,kk,Eintala,,,,,,,,cardioid,,,,,,,,,2007
hjásamtoga,,ls,,,,,,,,,,cohomotopic,,,,,,,,,2008
hjásamtogun,,na,kvk,Eintala,,,,,,,,cohomotopy,,,,,,,,,2009
hjásvipfræði,,na,kvk,Eintala,,,,,,,,cohomology,,,,,,,,,2010
hjásvipfræði,,na,kvk,Eintala,,,,,,,,cohomology theory,,,,,,,,,2011
hjásvipfræðibaugur,,na,kk,Eintala,,,,,,,,cohomology ring,,,,,,,,,2012
hjásvipfræðiflokkur,,na,kk,Eintala,,,,,,,,cohomology class,,,,,,,,,2013
hjásvipfræðigrúpa,,na,kvk,Eintala,,,,,,,,cohomology group,,,,,,,,,2014
"hjátrefjasumma, trefjasumma",,na,kvk,Eintala,,,,,,,,"cofibred sum, fibre sum, fibred sum, push-out",,,,,,,,,2015
hjátrefjun,,na,kvk,Eintala,,,,,,,,co-fibering,,,,,,,,,2016
"hjávarpi, andbrigður varpi, mótbrigður varpi",,na,kk,Eintala,,,,,,,,"cofunctor, contravariant functor",,,,,,,,,2017
"hjávídd, fyllivídd",,na,kvk,Eintala,,,,,,,,codimension,,,,,,,,,2018
"hjávigur, hjávektor",,na,kk,Eintala,,,,,,,,covector,,,,,,,,,2019
"hjáþáttafylki, fylgiþáttafylki",,na,hk,Eintala,,,,,,,,cofactor matrix,,,,,,,,,2020
"hjáþáttur, fylgiþáttur",,na,kk,Eintala,,,,,,,,"algebraic adjunct, cofactor",,,,,,,,,2021
hjól,,na,hk,Eintala,,,,,,,,"(of a cycloid) generating circle, rolling circle",,,,,,,,,2022
hjól,,na,hk,Eintala,,,,,,,,wheel,,,,,,,,,2023
