Hugtök: is|Orðaflokkur: is|Kyn|Tala: is|Skilgreining: is|Skýring: is|Dæmi: is|Samheiti: is|Heimild: is|Sérsvið: is|Vísun/sjá einnig: is|Hugtak: en|Skilgreining: en|Skýring: en|Dæmi: en|Samheiti: en|Heimild: en|Sérsvið: en|Vísun/sjá einnig: en
algebrulegt mengi|ls|hk|Eintala||||||||algebraic set|||||||
algebrulegt rúm|na|hk|Eintala||||||||algebraic space|||||||
algebrumynstur|na|hk|Eintala||||algebrulegt mynstur||||algebraic structure|||||||
algebruflötur|na|kk|Eintala||||algebrulegur flötur||||algebraic surface|||||||
algebrugrannfræði|na|kvk|Eintala||||algebruleg grannfræði||||algebraic topology|||||||
algebrulegt víðerni|na|hk|Eintala||||||||algebraic variety|||||||
algebrulega lokaður|||Eintala||||||||algebraically closed||||algebraically complete|||
algebrulega háður|||Eintala||||||||algebraically dependent|||||||
algebrulega óháður|||Eintala||||||||algebraically independent|||||||
allt eða ekkert|||Eintala||||||||all or none|||||||
auðugur|ls|kk|Eintala|||||||very ample|ample|||||||
auðugt vigurbundin|||Eintala||||||||ample vector bundle|||||||
aflfræðigreining|na|kvk|Eintala||||||||analytic mechanics||||analytical mechanics|||
aðstoðar-|ls||Eintala||||hjálpar-, viðbótar-||||ancillary|||||||
andsjálfmótun|na|kvk|Eintala||||||||antiautomorphism|||||||
andsælis|ls||Eintala||||rangsælis||||anticlockwise||||counterclockwise|||
andvíxlunarjafna|na|kvk|Eintala||||||||anticommutation relation|||||||
andvíxlinn|ls||Eintala||||||||anticommutative|||||||
andvíxlanlegur|ls|kk|Eintala||||||||anticommutative|||||||
andvíxill|na|kk|Eintala||||||||anticommutator|||||||
andvíxlast|sag||Eintala||||||||anticommute|||||||
andinnanmótun|na|kvk|Eintala||||||||antiendomorphism|||||||
andhermískt form|na||Eintala|||||||inner product, scalar product|antihermitian sesquilinear form||||antihermitian form|||
andfágaður|ls|kk|Eintala||||||||antiholomorphic|||||||
andsammótun|na|kvk|Eintala||||andmótun||||antihomomorphism|||||||
andhverft breiðbogafall|na|hk|Eintala||||||||antihyperbolic function||||area-hyperbolic function, inverse hyperbolic function|||
