Hugtök: is|Orðaflokkur: is|Kyn|Tala: is|Skilgreining: is|Skýring: is|Dæmi: is|Samheiti: is|Heimild: is|Sérsvið: is|Vísun/sjá einnig: is|Hugtak: en|Skilgreining: en|Skýring: en|Dæmi: en|Samheiti: en|Heimild: en|Sérsvið: en|Vísun/sjá einnig: en
grunnhringur|na|kk|Eintala||||||||base circle|||||||
grunnsvið|na|hk|Eintala||||||||base field||||basic field, ground field|||
grunntala náttúrlegs logra|na|kvk|Eintala||||stofntala náttúrlegs logra|||\(e\)|base of natural logarithms|||||||
grunnpunktur|na|kk|Eintala||||||||base point||||distinguished element|||
grunnrúm|na|hk|Eintala||||||||base space|||||||
grunnvigur|na|kk|Eintala||||||||base vector||||basis vector|||
grunnstak|na|hk|Eintala||||stak í grunni||||basic element||||basis element|||
grunnbaugur|na|kk|Eintala||||||||basic ring|||||||
grunnlausn|na|kvk|Eintala||||||||basic solution|||||||
grannmótun|na|kvk|Eintala||||||||bicontinuous mapping||||homeomorphic mapping, homeomorphism, topological homeomorphism, topological isomorphism, topological mapping|||
gagnfágaður|ls|kk|Eintala||||||||biholomorphic|||||||
gagntæk vörpun|na|kvk|Eintala||||||||bijection|||||||
gagntækur|ls|kk|Eintala||||||||bijective||||biunique, one-one, one-to-one, one-to-one onto|||
gagntekt|na|kvk|Eintala||||gagntaka||||bijectivity|||||||
gagnræður|ls||Eintala||||||||birational|||||||
grein breiðboga|na|kvk|Eintala||||grein gleiðboga||||branch of a hyperbola|||||||
geymd|na|kvk|Eintala||||||||carry||||carry-over|||
geyma|sag||Eintala||||||||carry|||||||
geymdur tölustafur|na|kk|Eintala||||||||carry digit|||||||
grúpuríki|sag||Eintala||||||||category of groups|||||||
gagnvegahnit|na|kvk|Eintala||||||||central coordinates||||geodesic coordinates|||
grúpumiðja|na|kvk|Eintala||||miðja||||centre|||||||
grunnpunktur|na|kk|Eintala||||miðja||||centre|||||||
grófara grannmynstur|na|hk|Eintala||||veikara grannmynstur|||finer topology, stronger topology|coarser topology||||weaker topology|||
geymd|na|kvk|Eintala||||varðveisla||||conservation|||||||
giftingarverkefni|na|hk|Eintala||||||||dancing problem||||marriage problem|||
gögn|na|hk|Fleirtala||||||||data|||||||
gagnabanki|na|kk|Eintala||||||||data bank|||||||
gagnasafn|na|hk|Eintala||||gagnagrunnur||||data base|||||||
gagnasafnsfræði|na|kvk|Eintala||||||||data base theory|||||||
gagnavinnsla|na|kvk|Eintala||||||||data processing|||||||
ganga upp í|sag|kvk|Eintala||||||||divide|||||||
gná|na||Eintala||||||||dominance|||||||
gnæfur|ls|kk|Eintala||||||||dominant|||||||
gangbestun|na||Eintala||||kvik bestun, hreyfibestun, hreyfin bestun||||dynamic programming||||dynamic optimization|||
gangkerfi|na||Eintala||||hreyfikerfi||||dynamic system||||dynamical system|||
grunnstætt fall|na|hk|Eintala||||||||elementary function|||||||
grunnreikningsaðgerð|na|kvk|Eintala|||||||arithmetic operation|elementary operation|||||||
grunnstæð sönnun|na|kvk|Eintala||||||||elementary proof|||||||
greyping|na|kvk|Eintala||||||||embedding||||imbedding|||
gloppa|na|kvk|Eintala||||||||exceptional value||||lacunary value|||
gjaldgeng lausn|na|kvk|Eintala||||||||feasible solution|||||||
gleymskuvarpi|na|kk|Eintala||||||||forgetful functor|||||||
grunn-|ls||Eintala||||undirstöðu-, meg\hbox{in{-}.}\ekkipunktur||||fundamental|||||||
grunnform|na|hk|Eintala||||||||fundamental form|||||||
grunnlína|na|kvk|Eintala||||||||fundamental line|||||||
grunnfylki|na|hk|Eintala||||||||fundamental matrix|||||||
grunnlota|na|kvk|Eintala||||stofnlota, minnsta lota||||fundamental period|||||||
grunnpunktur|na|kk|Eintala||||||||fundamental point|||||||
grunnlausn|na|kvk|Eintala||||stofnlausn||||fundamental solution|||||||
grunnlotukerfi|na|hk|Eintala||||||||fundamental system|||||||
grunneining|na|kvk|Eintala||||||||fundamental unit|||||||
gammafall|na|hk|Eintala|||||||factorial function|gamma function|||||||
gloppa|na|kvk|Eintala||||eyða|||lacunary value|gap|||||||
gloppuröð|na|kvk|Eintala||||eyðuröð||||gap series||||lacunar series, lacunary series|||
gloppusetning|na|kvk|Eintala||||eyðusetning||||gap theorem|||||||
gagnvega-|ls||Eintala||||||||geodesic|||||||
gagnvegafjarlægð|na|kvk|Eintala||||||||geodesic distance|||||||
gagnvegastreymi|sag||Eintala||||||||geodesic flow|||||||
gagnvegur|na|kk|Eintala||||||||geodesic line||||geodesic|||
gagnvegafullkominn|ls|kk|Eintala||||||||geodesically complete|||||||
gildleiki|na|kk|Eintala||||||||girth|||||||
gullinn rétthyrningur|na|kk|Eintala||||||||golden rectangle|||||||
gullinsnið|na|hk|Eintala||||||||golden section|||||||
grúpa|na|kvk|Eintala||||||||group|||||||
grúpuverkun|na||Eintala||||verkun grúpu||||group action||||group operation|||
grúpuútvíkkun|na|kvk|Eintala||||grúpuvíkkun||||group extension|||||||
grúpumótun|na|kvk|Eintala||||grúpusammótun||||group homomorphism|||||||
grúpueinsmótun|na|kvk|Eintala||||||||group isomorphism|||||||
grúpuaðgerð|na|kvk|Eintala||||||||group law|||||||
grúpumynstur|na|hk|Eintala||||||||group structure|||||||
grúputafla|na|kvk|Eintala||||||||group table|||||||
grúpufræði|na|kvk|Eintala||||||||group theory|||||||
grúpa með virkjum|na|kvk|Eintala||||||||group with operators|||||||
grýpi|na||Eintala||||||||groupoid|||||||
grannmóta|ls|kk|Fleirtala||||||||homeomorphic||||topologically equivalent|||
gildi|na||Eintala||||mynd (staks)||||image||||value|||
greyptur|ls|kk|Eintala||||||||imbedded|||||||
greypt frymið íðal|na||Eintala||||||||imbedded primary ideal|||||||
gagnsníða|||Eintala|||||||transversal|intersect transversally|||||||
grind|na|kvk|Eintala||||||||lattice|||||||
grind|na|kvk|Eintala||||||||lattice|||||||
grindargrúpa|na|kvk|Eintala||||||||lattice group|||||||
grindamótun|na|kvk|Eintala||||||||lattice homomorphism|||||||
grindafræði|sag||Eintala||||||||lattice theory|||||||
giftingarsetning|na|kvk|Eintala||||||||marriage theorem|||||||
gerð fylkis|na|kvk|Eintala||||||||matrix form|||||||
gegnvirkniregla|na|kvk|Eintala||||gegnvirkniháttur||||modus barbara|||||||
grennd|na|kvk|Eintala||||||||neighbourhood|||||||
grenndasía|na||Eintala||||||||neighbourhood filter|||||||
grenndarinndragi|sag||Eintala||||||||neighbourhood retract|||||||
grenndakerfi|na||Eintala||||||||neighbourhood system||||system of neighbourhoods|||
gleiður|ls|kk|Eintala||||sljór||||obtuse|||||||
gleiðhyrndur|ls|kk|Eintala||||sljóhyrndur||||obtuse|||||||
gleitt horn|na|hk|Eintala||||gleiðhorn, sljótt horn, sljóhorn||||obtuse angle|||||||
gagntæk samsvörun|na|kvk|Eintala||||gagnkvæm samsvörun||||one-to-one correspondence|||||||
gagnstæð stefna|ls|hk|Fleirtala||||gagnstæð átt||||opposite direction|||||||
gagnstæð tala|ls|hk|Fleirtala||||||||opposite number|||||||
gagnstætt formerki|ls|hk|Eintala||||||||opposite sign|||||||
geislahnit|na|hk|Eintala||||||||polar radius||||radius, radius vector|||
grunnlota|na|kvk|Eintala||||||||primitive period|||||||
gráðubogi|na|kk|Eintala||||||||protractor|||||||
gervi-|pref||Eintala||||||||pseudo-|||||||
gervikúptur|ls|kk|Eintala||||||||pseudoconvex|||||||
gervislembitölur|na|kvk|Fleirtala||||||||pseudorandom numbers|||||||
gervihvel|na|hk|Eintala||||||||pseudosphere|||||||
gataður|ls|kk|Eintala||||||||punctured|||||||
götuð tvinntalnaslétta|ls|hk|Fleirtala||||||||punctured complex plane|||||||
götuð hringskífa|ls|hk|Fleirtala||||||||punctured disk|||||||
gæðaeftirlit|na|hk|Eintala||||||||quality control|||||||
geislamarkgildi|na|hk|Eintala||||||||radial limit|||||||
geisli|na||Eintala||||hringgeisli||||radius|||||||
geisli|na||Eintala||||kúlugeisli||||radius|||||||
gagnkvæmur|ls|kk|Eintala||||||||reciprocal|||||||
gagnkvæmnissetning|na|kvk|Eintala||||||||reciprocity law|||||||
geyma|sag||Eintala||||||||retain|||||||
gróf nálgun|na|kvk|Eintala||||||||rough approximation|||||||
gróft mat|na|hk|Eintala||||||||rough estimate|||||||
gróf tala|na|kvk|Eintala||||snyrt tala||||round figure|||||||
gjaldþrot|na|hk|Eintala||||hrun||||ruin|||||||
geiri|na|kk|Eintala||||hringgeiri|||spherical sector|sector|||||||
geirahorn|na|hk|Eintala||||||||sector angle|||||||
gerðarstöðugleiki|sag||Eintala||||||||structural stability|||||||
gerðarsetning|na|kvk|Eintala||||||||structure theorem|||||||
grannfræðilegur|ls|kk|Eintala||||grann-||||topological|||||||
grannalgebra|na|kvk|Eintala||||||||topological algebra|||||||
grannsvið|na|hk|Eintala||||||||topological field|||||||
grannnet|na|hk|Eintala||||||||topological graph|||||||
granngrúpa|na|kvk|Eintala||||||||topological group|||||||
grannfræðileg óbreyta|ls|hk|Fleirtala||||||||topological invariant|||||||
grannvíðátta|na|kvk|Eintala||||||||topological manifold|||||||
grannbaugur|na|kk|Eintala||||||||topological ring|||||||
grannrúm|na|hk|Eintala||||||||topological space|||||||
grannhvel|na|hk|Eintala||||||||topological sphere|||||||
grannmynstur|na|hk|Eintala||||||||topological structure||||topology|||
grannfræðingur|na|kk|Eintala||||||||topologist|||||||
grannfræði|na|kvk|Eintala||||||||topology||||analysis situs|||
gegnvirkur|ls|kk|Eintala||||||||transitive|||||||
gegnvirk grúpa|na|kvk|Eintala||||||||transitive group|||||||
gegnvirkniregla|na|kvk|Eintala||||gegnvirknilögmál||||transitive law|||||||
gegnvirkni|na|kvk|Eintala||||||||transitivity|||||||
gagnsniða|ls||Eintala|||||||intersect transversally|transversal|||||||
gagnsniðill|na|kk|Eintala||||||||transversal|||||||
gagnsnið|na|hk|Eintala||||||||transversality|||||||
gagnsniðsskilyrði|na|hk|Eintala||||||||transversality condition|||||||
gerð|na|kvk|Eintala||||tag||||type|||||||
gerðarfræði|sag||Eintala||||||||type theory|||||||
gildisdreifing|na|kvk|Eintala||||||||value distribution|||||||
gildisdreifingarfræði|na|kvk|Eintala||||||||value distribution theory|||||||
gildamengi|na|hk|Eintala||||||||value set|||||||
Grassmann-margfeldi|na|hk|Eintala||||Grassmann-feldi, ytra margfeldi, útfeldi||||alternating product||||exterior product, Grassmann product, outer product, wedge product|||
Gauss-Markov-metill|ls|kvk|Eintala||||||||best unbiased linear estimator||||best estimator, Gauss-Markov estimator|||
Gauss-tala|na|kvk|Eintala||||Gauss-heiltala||||complex integer||||Gaussian complex integer, Gaussian integer|||
Gauss-dreifingarfall|na|hk|Eintala||||normlegt dreifingarfall, normlegt dreififall||||cumulative normal distribution||||normal distribution function|||
Gauss-ferill|na|kk|Eintala||||normlegur dreififerill||||curve of normal distribution||||error curve, error distribution curve, Gaussian curve, Gaussian error curve, normal curve, normal distribution curve, normal error curve, normal frequency curve, normal probability curve|||
Galois-útvíkkun|na|kvk|Eintala||||Galois-víkkun||||Galois extension||||normal separable extension|||
Galois-grúpa|na|kvk|Eintala||||||||Galois group|||||||
Galois-kenning|na|kvk|Eintala||||||||Galois theory|||||||
Gauss-krappi|na|kk|Eintala||||Gauss-sveigja, heildarkrappi, heildarsveigja||||Gauss curvature||||total curvature|||
Gauss-dreifing|na|kvk|Eintala||||normleg dreifing||||Gauss distribution||||normal distribution|||
Gauss-ferli|na|hk|Eintala||||normlegt ferli||||Gaussian process||||normal process|||
Gödel-tölusetning|na|kvk|Eintala||||||||gödelization|||||||
Grassmann-víðátta|na|kvk|Eintala||||||||Grassmann manifold|||||||
hlutlaus rúmfræði|na|kvk|Eintala||||||||absolute geometry||||neutral geometry|||
hrein algebra|na|kvk|Eintala||||||||abstract algebra|||||||
hrein stærðfræði|na|kvk|Eintala||||||||abstract mathematics||||pure mathematics|||
hröðun|na|kvk|Eintala||||||||acceleration|||||||
hvass|ls|kk|Eintala||||||||acute|||||||
hvasshyrndur|ls|kk|Eintala||||||||acute|||||||
hjáfylki|na|hk|Eintala||||bylt hjáþáttafylki, bylt fylgiþáttafylki||||adjoint matrix||||adjoint, adjugate matrix|||
hafa (lausn)|sag||Eintala||||||||admit|||||||
hending|na|kvk|Eintala||||slembibreyta, slembistærð, slemba||||aleatory variable||||chance variable, random variable, stochastic variable, variate|||
hjáþáttur|na|kk|Eintala||||fylgiþáttur||||algebraic adjunct||||cofactor|||
höfnunarmistök|na|hk|Fleirtala|||||||beta-error|alpha-error||||error of the first kind, type I error|||
höfnunarhætta|na|kvk|Eintala|||||||beta-risk|alpha-risk||||risk of the first kind, type I error probability, type I risk|||
hæð|na|kvk|Eintala||||||||altitude||||height|||
hæðasetning|na|kvk|Eintala||||||||altitude theorem|||||||
hæðarsetning|na|kvk|Eintala||||||||altitude theorem|||||||
horn|na|hk|Eintala||||stefnuhorn, áttarhorn, hornhnit||||amplitude||||angular coordinate, anomaly, azimuth, polar angle|||
horn|na|hk|Eintala||||stefnuhorn, áttarhorn, horngildi||||amplitude||||argument|||
hnitarúmfræði|na|kvk|Eintala||||hnitafræði||||analytic geometry||||analytical geometry, cartesian geometry, coordinate geometry|||
hjólflötur|na|kk|Eintala||||hringfeldi||||anchor ring||||ring surface, torus|||
horn|na|hk|Eintala|||||||adjacent angles, adjacent supplementary angles, alternate angles, alternate-exterior angles, alternate-interior angles, apex angle, apical angle, base angle, central angle, complementary angle, concave angle, conjugate angle, corresponding angles, degree of angle, described angle, dihedral angle, directed angle, direction angle, distortion angle, eccentric angle, edge angle, escribed angle, explement, explementary angle, exterior alternate angles, exterior angle, exterior opposite angles, exterior-interior angles, external angle, face angle, flat angle, full angle, full solid angle, included angle, inscribed angle, interior alternate angles, interior angle, mark off angles, measure of angle, minute of angle, oblique angle, obtuse angle, opposite angle, opposite angles, oriented angle, parallel angle, perigon, polar angle, polyhedral angle, preservation of angles, radian measure, reentrant angle, related angle, right angle, rotation angle, round angle, salient angle, second of angle, sector angle, slope angle, solid angle, spherical angle, straight angle, supplement, supplemental angle, supplementary angle, tetrahedral angle, vertex angle, vertical angles|angle|||||||
helmingalína horns|na|kvk|Eintala|||||||bisector|angle bisector|||||||
hornamál|na|hk|Eintala|||||||angular degree, cc, centesimal minute, centesimal second, deg, degree, degree of angle, circular measure, grad, grade, min, min, minute, minute of angle, radian, radian measure, second of angle, sexagesimal degree, sexagesimal minute, sexagesimal second|angle measure||||measure of angle|||
hornasumma|na|kvk|Eintala||||||||angle sum|||||||
hornrækinn|ls|kk|Eintala||||||||angle-preserving||||conformal, equiangular, isogonal|||
hornhröðun|na|kvk|Eintala||||||||angular acceleration|||||||
hornafleiða|na|kvk|Eintala||||||||angular derivative|||||||
hornfjarlægð|na|kvk|Eintala||||||||angular distance||||angular separation|||
hornamál|na|hk|Eintala||||hornmál||||angular measure|||||||
hornhraði|na|kk|Eintala||||||||angular velocity||||angular speed|||
hringkragi|na||Eintala||||kragi||||annulus||||circular ring|||
heimfærður|ls|kk|Eintala||||||||applied|||||||
heimfærð stærðfræði|na|kvk|Eintala||||||||applied mathematics|||||||
hversu stór sem vera skal|ls|kvk|Eintala||||||||arbitrarily great|||||||
hversu lítill sem vera skal|ls|kk|Eintala||||||||arbitrarily small|||||||
hrísla|na|kvk|Eintala|||||||tree|arborescence|||||||
hringbogi|na|kk|Eintala||||bogi, örk||||arc||||circular arc|||
hornaukasetning|na|kvk|Eintala||||||||argument principle||||principle of argument, principle of the argument|||
hjálparlína|na|kvk|Eintala||||||||auxiliary line|||||||
hlutmengjafrumsenda|na|kvk|Eintala||||hlutmengjafrumsetning, frumsenda um hlutmengi, frumsetning um hlutmengi||||axiom of subsets||||axiom of separation|||
helminga|sag||Eintala||||||||bisect|||||||
helmingalína|na|kvk|Eintala||||||||bisecting line||||bisector, bisectrix|||
helmingaslétta|na|kvk|Eintala||||||||bisecting plane|||||||
helmingun|na|kvk|Eintala||||||||bisection||||halving|||
hornalínu-reitafylki|na|hk|Eintala||||||||block diagonal matrix|||||||
hornklofi|na|kk|Eintala||||||||bracket|||||||
hornklofamargföldun|na|kvk|Eintala||||Lie-margföldun|||Lie bracket|bracket operation|||||||
hornklofamargfeldi|na|hk|Eintala||||Lie-margfeldi|||Lie bracket|bracket product|||||||
hringabundin|ls|kvk|Eintala||||bundin af hringjum||||bundle of circles||||sheaf of circles|||
hnikareikningur|na|kk|Eintala||||||||calculus of variations||||variational calculus|||
hornalínuaðferð Cantors|na|kvk|Eintala|||||||diagonal method|Cantor's diagonal method|||||||
hjartaferill|na|kk|Eintala||||||||cardioid|||||||
hamför|na|kvk|Eintala||||||||catastrophe|||||||
hamfarafræði|sag||Eintala||||||||catastrophe theory|||||||
höfuðgildi|sag||Eintala||||megingildi||||Cauchy principal value||||main value, principal value|||
himinaflfræði|na|kvk|Eintala||||himinhreyfingafræði, hnatthreyfingafræði||||celestial mechanics|||||||
himinhvel|na|hk|Eintala||||himinhvolf, himinhvelfing, himinkúla||||celestial sphere|||||||
hundraðshlutamark|na|hk|Eintala||||hundraðsmark|||fractile, quantile|centile||||percentile|||
hvirfilpunktur|na|kk|Eintala||||miðja||||centre||||vortex point|||
höfuðkrappamiðja|na|kvk|Eintala||||krappamiðja, sveigjumiðja||||centre of principal curvature|||||||
hnitaskipti|sag||Eintala||||hnitafærsla||||change of coordinates||||coordinate change, coordinate transformation, transformation of coordinates|||
hleðsla|na|kvk|Eintala||||||||charge|||||||
höfuðturn|na|kk|Eintala||||||||chief series||||principal series|||
hringur|na|kk|Eintala||||hringferill, hringlína|||asymptotic circle, auxiliary circle, base circle, bundle of circles, circumcircle, circumscribed circle, cycle, escribed circle, excircle, generating circle, great circle, imaginary circle, incircle, inscribed circle, nine-point circle, nine-point circle theorem, one-sphere, oriented circle, orthoptic circle, osculating circle, pencil of circles, polar circle, principal circle, quadrature of the circle, rolling circle, semicircle, sheaf of circles, small circle, squaring the circle, unit circle|circle|||||||
hringgrúpa|na||Eintala||||||||circle group|||||||
hringaðferð|na||Eintala||||||||circle method|||||||
hjúfurhringur|na|kk|Eintala||||krappahringur, sveigjuhringur||||circle of curvature||||osculating circle|||
hringlaga|ls|kk|Eintala||||kringlóttur, hring-||||circular|||||||
hringskífa|||Eintala||||hringflötur||||circular disc||||circle, disc, disk|||
hringskipting|na||Eintala||||||||circular division||||cyclotomy|||
hringsvæði|na|hk|Eintala||||||||circular domain|||||||
hornafall|na|hk|Eintala||||||||circular function||||trigonometric function|||
hringhreyfing|na|kvk|Eintala||||||||circular motion|||||||
hringsneið|na|kvk|Eintala||||sneið||||circular segment||||segment|||
hringsamhverfni|na||Eintala||||||||circular symmetry||||radial symmetry|||
hringbogaþríhyrningur|na|kk|Eintala||||||||circular triangle|||||||
hringjaðar|na||Eintala||||hringferill|||circle|circumference|||||||
hlutfallsleg tíðni|na|kvk|Eintala||||||||class frequency||||relative frequency|||
hjáaðoka|ls||Eintala||||aðoka frá hægri|||adjoint, left-adjoint|coadjoint||||right-adjoint|||
hjáalgebra|na|kvk|Eintala||||||||coalgebra|||||||
hjájaðra|ls||Eintala||||||||cobordant|||||||
hjájöðrun|na|kvk|Eintala||||||||cobordism|||||||
hjájaðar|na|kk|Eintala||||||||coboundary|||||||
hjájaðarvirki|sag||Eintala||||||||coboundary operator|||||||
hjákarteskur ferningur|na||Eintala||||||||cocartesian square||||push-out diagram|||
hjákeðja|na|kvk|Eintala||||||||cochain|||||||
hjákeðjufléttingur|na|kk|Eintala||||||||cochain complex|||||||
hjálokaður|ls|kk|Eintala||||||||coclosed|||||||
hjárás|na|hk|Eintala||||||||cocycle|||||||
hjávídd|na|kvk|Eintala||||fyllivídd||||codimension|||||||
hjáþáttafylki|na|hk|Eintala||||fylgiþáttafylki||||cofactor matrix|||||||
hjátrefjun|na|kvk|Eintala||||||||co-fibering|||||||
hjátrefjasumma|na|kvk|Eintala||||trefjasumma||||cofibred sum||||fibre sum, fibred sum, push-out|||
hjáendanlegur|ls|kk|Eintala||||||||cofinite|||||||
hjávarpi|na|kk|Eintala||||andbrigður varpi, mótbrigður varpi||||cofunctor||||contravariant functor|||
hjágrúpa|na|kvk|Eintala||||||||cogroup|||||||
hjáhæð|na|kvk|Eintala||||dýpt||||coheight||||depth|||
hjásvipfræði|na|kvk|Eintala||||||||cohomology|||||||
hjásvipfræðiflokkur|na|kk|Eintala||||||||cohomology class|||||||
hjásvipfræðigrúpa|na|kvk|Eintala||||||||cohomology group|||||||
hjásvipfræðibaugur|na|kk|Eintala||||||||cohomology ring|||||||
hjásvipfræði|na|kvk|Eintala||||||||cohomology theory|||||||
hjásamtoga|ls|kvk|Eintala||||||||cohomotopic|||||||
hjásamtogun|na|kvk|Eintala||||||||cohomotopy|||||||
hjámynd|na|kvk|Eintala||||||||coimage|||||||
hjákjarni|na|kk|Eintala||||||||cokernel|||||||
hjólferill|na|kk|Eintala||||||||common cycloid||||cycloid|||
hringfari|na|kk|Eintala||||||||compass||||pair of compasses|||
heildarlausn|na|kvk|Eintala||||almenn lausn, fullkomin lausn||||complete solution||||general solution|||
hnit|na|hk|Eintala||||stak, stuðull||||component|||||||
hvelfdur|ls|kk|Eintala||||||||concave|||||||
hvelft horn|na|hk|Eintala||||||||concave angle|||||||
hvelft fall|na|hk|Eintala||||||||concave function|||||||
hugtak|na|hk|Eintala||||||||concept|||||||
hornræknirúmfræði|na||Eintala||||||||conformal geometry|||||||
hornrækin vörpun|na|kvk|Eintala||||||||conformal mapping|||||||
hornrækni|na||Eintala||||||||conformality||||isogonality, preservation of angles|||
hlaupandi meðaltal|na|hk|Eintala||||||||consecutive mean||||moving average, running mean, sliding average|||
hreyfingarfasti|sag||Eintala||||||||constant of motion|||||||
hlutfallstala|na|kvk|Eintala||||hlutfallsþáttur||||constant of proportionality|||||||
hæðarlína|na|kvk|Eintala||||hæðarferill||||contour line||||depth contour, height contour, height line, isobath, isohypse, level curve, level line|||
hæðarflötur|na|kk|Eintala||||||||contour surface||||level surface|||
herping|na|kvk|Eintala||||samdráttur||||contraction||||contractive mapping|||
hnit|na|hk|Eintala|||||||abscissa, affine coordinates, amplitude, angular coordinate, anomaly, azimuth, barycentric coordinates, cartesian coordinates, central coordinates, curvilinear coordinates, cylindrical coordinates, ellipsoidal coordinates, geodesic coordinates, homogeneous coordinates, inhomogeneous coordinates, local coordinate, normal coordinates, oblique coordinates, ordinate, orthogonal coordinates, orthonormal coordinates, parabolic coordinates, parallel coordinates, plane coordinates, polar angle, polar coordinates, projective coordinates, radius vector, rectangular coordinates, spatial coordinates, spherical coordinates, spherical polar coordinates, tetrahedral coordinates, triangular coordinates, trilinear coordinates|coordinate|||||||
hnitás|na|kk|Eintala||||hnitaás|||axis, real axis|coordinate axis|||||||
hnitfall|na|hk|Eintala||||hnitafall||||coordinate function|||||||
hnitgrennd|na|kvk|Eintala||||hnitagrennd||||coordinate neighbourhood|||||||
hnitslétta|na|kvk|Eintala||||hnitaslétta|||cartesian plane|coordinate plane|||||||
hnitrúm|na|hk|Eintala||||hnitarúm|||cartesian space|coordinate space|||||||
hnitakerfi|na|hk|Eintala||||||||coordinate system||||system of coordinates|||
hjámargfeldi|na|hk|Eintala||||summa|||direct sum|coproduct||||sum|||
hjámengi|na||Eintala|||||||residue class|coset|||||||
hjávigur|na|kk|Eintala||||hjávektor||||covector|||||||
hvarfpunktur|na|kk|Eintala||||hvarf, jafnvægispunktur, stöðupunktur||||critical point||||equilibrium point, singular point, stationary point|||
höfnunarlíkindi|na|hk|Fleirtala||||frávísunarlíkindi||||critical probability||||critical level|||
höfnunarsvæði|na|hk|Eintala||||frávísunarsvæði||||critical region|||||||
hvarfgildi|sag||Eintala||||||||critical value||||critical level|||
höfnunarmark|na|hk|Eintala||||frávísunarmark||||critical value||||rejection boundary, rejection limit, significance point|||
hringskiptijafna|na||Eintala||||||||cyclotomic equation|||||||
hringskiptisvið|na||Eintala||||||||cyclotomic field|||||||
hringskiptimargliða|na||Eintala||||||||cyclotomic polynomial|||||||
hálfgrúpa|na|kvk|Eintala|||||||monoid|demigroup||||hemigroup, semigroup|||
hæði|na||Eintala||||||||dependence|||||||
háður|ls|kk|Eintala|||||||algebraically dependent, linearly dependent|dependent|||||||
háðir atburðir|na|kk|Fleirtala||||||||dependent events||||stochastically dependent events|||
háðar hendingar|na|kvk|Fleirtala||||||||dependent random variables||||dependent variates|||
hærri afleiða|ls|hk|Fleirtala||||||||derivative of higher order||||higher derivative, higher-order derivative|||
hægri afleiða|ls|hk|Fleirtala||||afleiða frá hægri||||derivative on the right||||forward derivative, right derivative, right-hand derivative, right-handed derivative|||
hnig|na|hk|Eintala||||||||descent|||||||
hnigaðferð|na|kvk|Eintala||||||||descent method||||method of descent|||
hnigskref|na|hk|Eintala||||||||descent step|||||||
högun|na|kvk|Eintala||||||||design|||||||
hægrisnúinn|ls|kk|Eintala||||||||dextrorse|||||||
hægrisnúinn ferill|na|kk|Eintala||||||||dextrorse curve||||right-handed curve|||
hægrisnúin skrúflína|na|kvk|Eintala||||||||dextrorse helix||||right-handed helix|||
heilsteyptur töfraferningur|na|kk|Eintala||||||||diabolic magic square||||pandiagonal magic square, perfect magic square|||
hornalína|na|kvk|Eintala||||||||diagonal|||||||
hornalínureitur|na|kk|Eintala||||||||diagonal block|||||||
hornalínugná|na||Eintala||||||||diagonal dominance|||||||
hornalínustak|na||Eintala||||hornalínustuðull||||diagonal element||||diagonal coefficient|||
hornalínugerð|na|kvk|Eintala||||||||diagonal form|||||||
hornalínuvörpun|na|kvk|Eintala||||||||diagonal map|||||||
hornalínufylki|na|hk|Eintala||||||||diagonal matrix|||||||
hornalínuaðferð|na|kvk|Eintala|||||||Cantor's diagonal  method|diagonal method||||diagonal procedure, diagonal process|||
hornalínuaðhvarf|na|hk|Eintala||||||||diagonal regression|||||||
hornalínuþríhyrningur|na|kk|Eintala||||||||diagonal triangle|||||||
hornalínugerlegur|ls|kk|Eintala||||||||diagonalizable|||||||
hornalínugerningur|na|kk|Eintala||||||||diagonalization|||||||
hornalínugera|sag||Eintala||||hornalínufæra||||diagonalize|||||||
hornalínugnæfur|na||Eintala||||||||diagonally dominant|||||||
hægri deildanleiki|||Eintala||||deildanleiki frá hægri, hægri diffranleiki, diffranleiki frá hægri||||differentiability on the right||||forward differentiability, right differentiability, right-hand differentiability|||
heilbaugur|na|kk|Eintala||||||||domain||||domain of integrity, entire ring, integral domain, integral ring|||
heildunarsvæði|na|hk|Eintala||||tegrunarsvæði||||domain of integration|||||||
hreyfifræði|na|kvk|Eintala||||||||dynamics|||||||
hringvika|ls||Eintala||||||||eccentric|||||||
hringvikshorn|na||Eintala||||||||eccentric angle|||||||
hvirfilhringur|na|kk|Eintala|||||||auxiliary circle, eccentric|eccentric circle|||||||
hringvik|na||Eintala||||||||eccentricity|||||||
hagtölfræði|na|kvk|Eintala||||||||econometrics|||||||
hafa í för með sér|sag||Eintala||||leiða af sér, leiða til||||entail||||implicate, imply|||
heiltöluhluti|na||Eintala|||||||floor function, greatest integer function, square bracket function|entier||||integer part, integral part|||
heill|ls|kvk|Eintala||||||||entire||||integral|||
heilt fall|na|hk|Eintala||||||||entire function||||integral function|||
heil línuleg færsla|na|kvk|Eintala||||||||entire linear transformation|||||||
heil veldaröð|na|kvk|Eintala||||||||entire power series|||||||
heilt rætt fall|na|hk|Eintala||||margliða||||entire rational function||||polynomial|||
hjúpferill|na|kk|Eintala||||||||envelope||||enveloping curve|||
hjúpflötur|na|kk|Eintala||||||||envelope||||enveloping surface|||
hjúpur|na|kk|Eintala||||||||envelope|||||||
hreinvíður|ls|kk|Eintala||||||||equidimensional||||homogeneously dimensional, purely dimensional, unmixed|||
hvarf|na||Eintala|||||||extremal surface|extremal|||||||
