Hugtök: is,Orðaflokkur: is,Kyn,Tala: is,Skilgreining: is,Skýring: is,Dæmi: is,Samheiti: is,Heimild: is,Sérsvið: is,Vísun/sjá einnig: is,Hugtak: en,Skilgreining: en,Skýring: en,Dæmi: en,Samheiti: en,Heimild: en,Sérsvið: en,Vísun/sjá einnig: en,id
Gauss-tala,na,kvk,Eintala,,,,Gauss-heiltala,,,,complex integer,,,,"Gaussian complex integer, Gaussian integer",,,,1609
gegnvirkni,na,kvk,Eintala,,,,,,,,transitivity,,,,,,,,1611
gegnvirkniregla,na,,Eintala,,,,gegnvirkniháttur,,,,modus barbara,,,,,,,,1612
gegnvirkniregla,na,kvk,Eintala,,,,gegnvirknilögmál,,,,transitive law,,,,,,,,1613
gegnvirkur,ls,kk,Eintala,,,,,,,,transitive,,,,,,,,1614
gegnvirk grúpa,na,kvk,Eintala,,,,,,,,transitive group,,,,,,,,1610
geirahorn,na,hk,Eintala,,,,,,,,sector angle,,,,,,,,1615
geiri,na,kk,Eintala,<ref idTerm=4891>Flatarmynd</ref> sem afmarkast af <ref idTerm=1130>ferilhorni</ref> og <ref idTerm=2276>boganum</ref> sem það <ref idTerm=1130>spannar</ref>.,,,hringgeiri,,,spherical sector,sector,,,,,,,,1616
geislahnit,na,hk,Eintala,,,,,,,,polar radius,,,,"radius, radius vector",,,,1617
geislamarkgildi,na,hk,Eintala,,,,,,,,radial limit,,,,,,,,1618
geisli,na,kk,Eintala,\textit{Geisli} getur bæði átt við <ref idTerm=2958>línustrik</ref> frá miðju <ref idTerm=2295>hrings</ref> í einhvern <ref idTerm=4001>punkt</ref> hans eða <ref idTerm=2860>lengd</ref> línustriksins.,,,hringgeisli,,,,(of a circle) radius,,,,,,,,1619
geisli,na,kk,Eintala,\textit{Geisli} getur bæði átt við <ref idTerm=2958>línustrik</ref> frá miðju <ref idTerm=2319>kúluhvels</ref> í einhvern <ref idTerm=4001>punkt</ref> á kúluhvelinu eða <ref idTerm=2860>lengd</ref> línustriksins.,,,kúlugeisli,,,,(of a sphere) radius,,,,,,,,1620
gera ráð fyrir,sag,,,,,,"setja sem svo, ganga út frá, gefa sér",,,,(a hypothesis) assume,,,,,,,,1621
gerðarfræði,na,kvk,Eintala,,,,,,,,type theory,,,,,,,,1624
gerðarsetning,na,kvk,Eintala,,,,,,,,structure theorem,,,,,,,,1625
gerðarstöðugleiki,na,kk,Eintala,,,,,,,,structural stability,,,,,,,,1626
gerð fylkis,na,kvk,Eintala,,,,,,,,matrix form,,,,,,,,1622
gerð,na,,Eintala,,,,tag,,,,type,,,,,,,,1623
gervihvel,na,hk,Eintala,,,,,,,,pseudosphere,,,,,,,,1628
gervikúptur,ls,kk,Eintala,,,,,,,,pseudoconvex,,,,,,,,1629
gervimál,na,hk,Eintala,,,,,,,,artificial language,,,,,,,,1630
gervislembitölur,na,kvk,Fleirtala,,,,,,,,pseudorandom numbers,,,,,,,,1631
gervi-,pref,,,,,,,,,,pseudo-,,,,,,,,1627
geyma,sag,,,,,,,,,,carry,,,,,,,,1632
geyma,sag,,,,,,,,,,retain,,,,,,,,1633
geymd,na,kvk,Eintala,,,,,,,,carry,,,,carry-over,,,,1634
geymdur tölustafur,na,kk,Eintala,,,,,,,,carry digit,,,,,,,,1636
geymd,na,kvk,Eintala,,,,varðveisla,,,,conservation,,,,,,,,1635
giftingarsetning,na,kvk,Eintala,,,,,,,,marriage theorem,,,,,,,,1637
giftingarverkefni,na,hk,Eintala,,,,,,,,dancing problem,,,,marriage problem,,,,1638
gildamengi,na,hk,Eintala,,,,,,,,value set,,,,,,,,1639
gildisdreifing,na,kvk,Eintala,,,,,,,,value distribution,,,,,,,,1641
gildisdreifingarfræði,na,kvk,Eintala,,,,,,,,value distribution theory,,,,,,,,1642
gildi,na,,Eintala,,,,mynd (staks),,,,(of an element) image,,,,value,,,,1640
gildleiki,na,kk,Eintala,,,,,,,,(of a graph) girth,,,,,,,,1643
gjaldgeng lausn,na,kvk,Eintala,,,,,,,,feasible solution,,,,,,,,1644
gjaldþrot,na,hk,Eintala,,,,hrun,,,,(of a player in a game) ruin,,,,,,,,1645
gleiðhyrndur,ls,kk,Eintala,<ref idTerm=6438>Þríhyrningur</ref> kallast \textit{gleiðhyrndur} ef hann hefur eitt <ref idTerm=1647>gleitt</ref> <ref idTerm=2198>horn</ref>.,Eftirfarandi mynd sýnir gleiðhyrndan þríhyrning:\n\n\begin{center}\n\includegraphics[width=150px]{myndir/gleidhyrndur_thrihyrningur.png}\n\end{center},,sljóhyrndur,,,,(of a triangle) obtuse,,,,,,,,1646
gleiður,ls,kk,Eintala,<ref idTerm=2198>Horn</ref> kallast \textit{gleitt} ef það <ref idTerm=2223>mælist</ref> stærra en <ref idTerm=4167>rétt horn</ref>.,Á eftirfarandi mynd er hornið \(\angle BOC\) gleitt:\n\n\begin{center}\n\includegraphics[width=150px]{myndir/hvasst_gleitt.png}\n\end{center},,sljór,,,,(of an angle) obtuse,,,,,,,,1647
gleitt horn,na,hk,Eintala,,,,"gleiðhorn, sljótt horn, sljóhorn",,,,obtuse angle,,,,,,,,1648
gleymskuvarpi,na,kk,Eintala,,,,,,,,forgetful functor,,,,,,,,1649
gleypið ástand,na,hk,Eintala,,,,,,,,absorbing state,,,,,,,,1650
gleypið mengi,na,hk,Eintala,,,,,,,,absorbing set,,,,,,,,1651
gleypilíkindi,na,hk,Fleirtala,,,,,,,,absorption probability,,,,,,,,1652
gleyping,na,kvk,Eintala,,,,,,,,absorption,,,,,,,,1653
gleypinn,ls,kk,Eintala,,,,,,,,absorbing,,,,,,,,1654
gleypinn tálmi,na,kk,Eintala,,,,,,,,absorbing barrier,,,,,,,,1655
gleypiregla,na,kvk,Eintala,,,,,,,,absorption law,,,,,,,,1656
gloppa,na,kvk,Eintala,,,,,,,,exceptional value,,,,lacunary value,,,,1657
gloppa,na,kvk,Eintala,,,,eyða,,,lacunary value,gap,,,,,,,,1658
gloppuröð,na,kvk,Eintala,,,,eyðuröð,,,,gap series,,,,"lacunar series, lacunary series",,,,1659
gloppusetning,na,kvk,Eintala,,,,eyðusetning,,,,gap theorem,,,,,,,,1660
gná,na,kvk,Eintala,,,,,,,,dominance,,,,,,,,1661
gnæfur,ls,kk,Eintala,,,,,,,,dominant,,,,,,,,1662
grannalgebra,na,kvk,Eintala,,,,,,,,topological algebra,,,,,,,,1669
grannbaugur,na,kk,Eintala,,,,,,,,topological ring,,,,,,,,1670
grannfræði,na,kvk,Eintala,,,,,,,,(theory of topological spaces) topology,,,,analysis situs,,,,1671
grannfræðilegur,,,,,,,grann-,,,,topological,,,,,,,,1673
grannfræðileg óbreyta,na,kvk,Eintala,,,,,,,,topological invariant,,,,,,,,1672
grannfræðingur,na,kk,Eintala,,,,,,,,topologist,,,,,,,,1674
granngrúpa,na,kvk,Eintala,,,,,,,,topological group,,,,,,,,1675
grannhnútur,na,kk,Eintala,,,,grannstæður hnútur,,,,(of a vertex in a graph) adjacent vertex,,,,adjacent node,,,,1676
grannhorn,na,hk,Eintala,"Ef tvö <ref idTerm=2198>horn</ref> hafa einn sameiginlegan <ref idTerm=334>arm</ref> og hinir armarnir eru <ref idTerm=3400>gagnstæðar</ref> <reg idTerm=1840>hálflínur</ref>, þá er sagt að hornin séu \textit{grannhorn}",Á eftirfarandi mynd eru \(\angle COB\) og \(\angle BOA\) grannhorn:\n\n\begin{center}\n\includegraphics[width=150px]{myndir/grannhorn.png}\n\end{center},,aðlæg frændhorn,,,,adjacent supplementary angles,,,,,,,,1677
grannhvel,na,hk,Eintala,,,,,,,,topological sphere,,,,,,,,1678
grannleggur,na,kk,Eintala,,,,grannstæður leggur,,,,adjacent edge,,,,,,,,1679
grannmóta,ls,,,,,,,,,,homeomorphic,,,,topologically equivalent,,,,1680
grannmótun,na,kvk,Eintala,,,,,,,,bicontinuous mapping,,,,"homeomorphic mapping, homeomorphism, topological homeomorphism, topological isomorphism, topological mapping",,,,1681
grannmynstur,na,hk,Eintala,,,,,,,,topological structure,,,,topology,,,,1682
grannnet,na,hk,Eintala,,,,,,,,topological graph,,,,,,,,1683
grannrúm,na,hk,Eintala,,,,,,,,topological space,,,,,,,,1685
grannstæður hornpunktur,na,kk,Eintala,,,,,,,,(of a vertex of a polyhedron) adjacent vertex,,,,,,,,1686
grannsvið,na,hk,Eintala,,,,,,,,topological field,,,,,,,,1687
grannvíðátta,na,kvk,Eintala,,,,,,,,topological manifold,,,,,,,,1688
grannör,na,kvk,Eintala,,,,grannstæð ör,,,arc,adjacent arc,,,,,,,,1684
Grassmann-margfeldi,na,hk,Eintala,,,,"Grassmann-feldi, ytra margfeldi, útfeldi",,,,alternating product,,,,"exterior product, Grassmann product, outer product, wedge product",,,,1689
Grassmann-víðátta,na,kvk,Eintala,,,,,,,,Grassmann manifold,,,,,,,,1690
gráða,na,kvk,Eintala,<ref idTerm=3072>Mælieining</ref> sem oft er notuð til að mæla stærð <ref idTerm=2276>hringboga</ref> og <ref idTerm=2198>horna</ref> sem er fengin með því að skipta <ref idTerm=2295>hring</ref> í 360 <ref idTerm=0>eins</ref> boga sem kallast \textit{gráður} og eru táknaðar með \(1^\circ\).,Eftirfarandi mynd sýnir ýmis horn <ref idTerm=887>einingarhrings</ref> auk stærð þeirra í bæði gráðum og <ref idTerm=478>radíönum</ref>:\n\n\begin{center}\n\includegraphics[width=150px]{myndir/hornamal.png}\n\end{center},,"horngráða, bogagráða",,,deg,angular degree,,,,"degree, degree of angle, degree of arc, sexagesimal degree",,,,1667
gráðubogi,na,kk,Eintala,,,,,,,,protractor,,,,,,,,1668
greinargott mengi,na,hk,Eintala,,,,Súslín-mengi,,,,(in topology) analytic set,,,,"Souslin set, Suslin set",,,,1692
greining,na,kvk,Eintala,,,,"stærðfræðigreining, stærðfræðileg greining",,,"analysis of covariance, analysis of dispersion, analysis of time series, analysis of variance, backward error analysis, calculus, combinatorial analysis, complex analysis, component analysis, constructive analysis, correlation analysis, covariance analysis, differential and integral calculus, differential calculus, diophantine analysis, discriminance analysis, discriminant analysis, discriminatory analysis, dispersion analysis, error analysis, factor analysis, Fourier analysis, functional analysis, global analysis, harmonic analysis, infinitesimal calculus, integral calculus, linear functional analysis, multivariate analysis, multivariate analysis of variance, non-standard analysis, numerical analysis, real analysis, regression analysis, sequential analysis, spectral analysis, spinor analysis, system analysis, tensor analysis, time series analysis, variance analysis, vector analysis",(a mathematical discipline) analysis,,,,mathematical analysis,,,,1693
grein breiðboga,na,kvk,Eintala,,,,grein gleiðboga,,,,branch of a hyperbola,,,,,,,,1691
grennd,na,kvk,Eintala,,,,,,,,neighbourhood,,,,,,,,1694
grenndagrunnur,na,kk,Eintala,,,,grunnur af grenndum,,,,(for a neighbourhood system) base,,,,"base at a point, local base, local basis, neighbourhood base, neighbourhood basis",,,,1695
grenndakerfi,na,hk,Eintala,,,,,,,,neighbourhood system,,,,system of neighbourhoods,,,,1696
grenndarinndragi,na,kk,Eintala,,,,,,,,neighbourhood retract,,,,,,,,1697
grenndasía,na,kvk,Eintala,,,,,,,,neighbourhood filter,,,,,,,,1698
grennsl,na,,,,,,,,,,adjacency,,,,,,,,1699
grennslafylki,na,hk,Eintala,,,,hnútafylki,,,,adjacency matrix,,,,,,,,1700
greyping,na,kvk,Eintala,,,,,,,,embedding,,,,imbedding,,,,1701
greyptur,ls,kk,Eintala,,,,,,,,imbedded,,,,,,,,1703
greypt frymið íðal,na,hk,Eintala,,,,,,,,imbedded primary ideal,,,,,,,,1702
grind,na,kvk,Eintala,,,,,,,,(type of partially ordered set) lattice,,,,,,,,1704
grind,na,kvk,Eintala,,,,,,,,(discrete subgroup in a vector space) lattice,,,,,,,,1705
grindafræði,na,kvk,Eintala,,,,,,,,lattice theory,,,,,,,,1706
grindamótun,na,kvk,Eintala,,,,,,,,lattice homomorphism,,,,,,,,1707
grindargrúpa,na,kvk,Eintala,,,,,,,,lattice group,,,,,,,,1708
grófara grannmynstur,na,hk,Eintala,,,,veikara grannmynstur,,,"finer topology, stronger topology",coarser topology,,,,weaker topology,,,,1711
gróft mat,na,hk,Eintala,,,,,,,,rough estimate,,,,,,,,1712
gróf nálgun,na,kvk,Eintala,,,,,,,,rough approximation,,,,,,,,1709
gróf tala,na,kvk,Eintala,,,,snyrt tala,,,,round figure,,,,,,,,1710
grunnbaugur,na,kk,Eintala,,,,,,,,basic ring,,,,,,,,1714
grunneining,na,kvk,Eintala,,,,,,,,fundamental unit,,,,,,,,1715
grunnflötur,na,kk,Eintala,,,,,,,,(of a solid) base,,,,,,,,1716
grunnform,na,hk,Eintala,,,,,,,,fundamental form,,,,,,,,1717
grunnfylki,na,hk,Eintala,,,,,,,,fundamental matrix,,,,,,,,1718
grunnhorn,na,hk,Eintala,,,,,,,,base angle,,,,,,,,1719
grunnhringur,na,kk,Eintala,,,,,,,,(of a circular cone) base circle,,,,,,,,1720
grunnlausn,na,kvk,Eintala,,,,,,,,basic solution,,,,,,,,1721
grunnlausn,na,kvk,Eintala,,,,stofnlausn,,,,fundamental solution,,,,,,,,1722
grunnlína,na,kvk,Eintala,,,,,,,,(of a triangle) base,,,,,,,,1723
grunnlína,na,kvk,Eintala,,,,,,,,fundamental line,,,,,,,,1724
grunnlota,na,kvk,Eintala,,,,,,,,primitive period,,,,,,,,1725
grunnlota,na,kvk,Eintala,,,,"stofnlota, minnsta lota",,,,fundamental period,,,,,,,,1726
grunnlotukerfi,na,hk,Eintala,,,,,,,,(of periods) fundamental system,,,,,,,,1727
grunnpunktur,na,kk,Eintala,,,,,,,,base point,,,,distinguished element,,,,1728
grunnpunktur,na,kk,Eintala,,,,,,,,fundamental point,,,,,,,,1729
grunnpunktur,na,,Eintala,,,,miðja,,,,(of a pencil) centre,,,,,,,,1730
grunnreikningsaðgerð,na,kvk,Eintala,,,,,,,arithmetic operation,elementary operation,,,,,,,,1731
grunnrúm,na,hk,Eintala,,,,,,,,base space,,,,,,,,1732
grunnstak,na,hk,Eintala,,,,stak í grunni,,,,basic element,,,,basis element,,,,1735
grunnstæð sönnun,na,kvk,Eintala,,,,,,,,elementary proof,,,,,,,,1733
grunnstætt fall,na,hk,Eintala,,,,,,,,elementary function,,,,,,,,1734
grunnsvið,na,hk,Eintala,,,,,,,,base field,,,,"basic field, ground field",,,,1736
grunntala náttúrlegs logra,na,kvk,Eintala,,,,stofntala náttúrlegs logra,,,\(e\),(talan \(e\)) base of natural logarithms,,,,,,,,1737
grunntala,na,kvk,Eintala,,,,stofntala,,,,(of a logarith) base,,,,,,,,1738
grunnur,na,kk,Eintala,,,,opinn grunnur,,,,(for a topology) base,,,,"basis, open base",,,,1740
grunnvigur,na,kk,Eintala,,,,,,,,base vector,,,,basis vector,,,,1741
grunn-,ls,,Eintala,,,,"undirstöðu-, meg\hbox{in{-}.}\ekkipunktur",,,,fundamental,,,,,,,,6584
grúpa,na,kvk,Eintala,,,,,,,,(in algebra) group,,,,,,,,1742
grúpa með virkjum,na,kvk,Eintala,,,,,,,,group with operators,,,,,,,,1743
grúpuaðgerð,na,kvk,Eintala,,,,,,,,group law,,,,,,,,1744
grúpueinsmótun,na,kvk,Eintala,,,,,,,,group isomorphism,,,,,,,,1745
grúpufræði,na,kvk,Eintala,,,,,,,,group theory,,,,,,,,1746
grúpumiðja,na,kvk,Eintala,,,,miðja,,,,(of a group) centre,,,,,,,,1747
grúpumótun,na,kvk,Eintala,,,,grúpusammótun,,,,group homomorphism,,,,,,,,1748
grúpumynstur,na,hk,Eintala,,,,,,,,group structure,,,,,,,,1749
grúpuríki,na,hk,Eintala,,,,,,,,category of groups,,,,,,,,1750
grúputafla,na,kvk,Eintala,,,,,,,,group table,,,,,,,,1751
grúpuútvíkkun,na,kvk,Eintala,,,,grúpuvíkkun,,,,group extension,,,,,,,,1752
grúpuverkun,na,kvk,Eintala,,,,verkun grúpu,,,,group action,,,,group operation,,,,1753
grýpi,na,hk,Eintala,,,,,,,,groupoid,,,,,,,,1755
gullinn rétthyrningur,na,kk,Eintala,"<ref idTerm=4175>Rétthyrningur</ref> með <ref idTerm=2048>hliðarlengdir</ref> \(a,b\) þar sem \(b > a\) sem uppfylla\n\n\[ \n\frac{b-a}{a}=\frac{a}{b}\n.\]",,,,,,,golden rectangle,,,,,,,,1756
gullinsnið,na,hk,Eintala,"<ref idTerm=2072>Hlutfall</ref> <ref idTerm=2048>hliða</ref> í <ref idTerm=1756>gullnum rétthyrningi</ref>, sem hefur gildið \(\frac{1+\sqrt{5}}{2}\), oft táknað \(\varphi\).",,,,,,,golden section,,,,,,,,1757
gæðaeftirlit,na,hk,Eintala,,,,,,,,quality control,,,,,,,,1567
Gödel-tölusetning,na,kvk,Eintala,,,,,,,,gödelization,,,,,,,,1663
gögn,na,hk,Fleirtala,,,,,,,,data,,,,,,,,1664
götuð hringskífa,na,kvk,Eintala,,,,,,,,punctured disk,,,,,,,,1665
götuð tvinntalnaslétta,na,kvk,Eintala,,,,,,,,punctured complex plane,,,,,,,,1666
Haar-mál,na,hk,Eintala,,,,,,,,Haar measure,,,,,,,,1759
hafa í för með sér,sag,,,,,,"leiða af sér, leiða til",,,,entail,,,,"implicate, imply",,,,1805
hafa (lausn),sag,,,,,,,,,,(a solution) admit,,,,,,,,1804
hafna,sag,,,,,,vísa frá,,,,reject,,,,,,,,1807
hagstæður atburður,na,kk,Eintala,,,,,,,,favourable event,,,,,,,,1811
hagstætt tilfelli,na,hk,Eintala,,,,,,,,favourable case,,,,,,,,1812
hagtölfræði,na,kvk,Eintala,,,,,,,,econometrics,,,,,,,,1813
haldagripur,na,kk,Eintala,,,,,,,sphere with handles,handlebody,,,,,,,,1823
haldahvel,na,hk,Eintala,,,,kúluhvel með handföngum,,,handlebody,sphere with handles,,,,,,,,1824
hali,na,kk,Eintala,,,,,,,heads or tails,tail,,,,,,,,1859
hallahorn,na,hk,Eintala,,,,,,,,slope angle,,,,,,,,1860
halli,na,kk,Eintala,,,,,,,"inclination, slope",grade,,,,,,,,1861
halli,na,kk,Eintala,,,,,,,"grade, slope",inclination,,,,,,,,1862
halli,na,,Eintala,"Mælikvarði á halla <ref idTerm=2911>línu</ref> með tilliti til <ref idTerm=6252>x-áss</ref>. Ef \((x_1,y_1)\) og \((x_2,y_2)\) eru tveir <ref idTerm=4001>punktar</ref> sem liggja á línunni (sem má ekki vera <ref idTerm=4509>samsíða</ref> <ref idTerm=6253>y-ás</ref>, þ.e. \(x_1 \neq x_2\)) fæst \textit{hallatala} línunnar með\n\n\[\n\frac{y_2-y_1}{x_2-x_1}\n.\]",,,hallatala,,,"grade, inclination",slope,,,,,,,,1863
hamfarafræði,na,kvk,Eintala,,,,,,,,catastrophe theory,,,,,,,,1869
hamför,na,kvk,Eintala,,,,,,,,catastrophe,,,,,,,,1870
Hamilton-fertala,na,kvk,Eintala,,,,,,,quaternion,Hamilton quaternion,,,,,,,,1871
Hamilton-rás,na,kvk,Eintala,,,,,,,,Hamilton circuit,,,,"Hamilton cycle, hamiltonian circuit, hamiltonian cycle",,,,1872
Hamilton-vegur,na,kk,Eintala,,,,,,,,hamiltonian path,,,,,,,,1873
Hamilton-virki,na,kk,Eintala,,,,,,,,Hamiltonian,,,,,,,,1874
handfang,na,hk,Eintala,,,,,,,,handle,,,,,,,,1876
happ,na,hk,Eintala,,,,,,,,success,,,,,,,,1877
harðger,ls,,Eintala,,,,,,,,robust,,,,,,,,1878
Hartogs-svæði,na,hk,Eintala,,,,,,,,Hartogs domain,,,,,,,,1881
Hausdorff-grannmynstur,na,hk,Eintala,,,,,,,,Hausdorff topology,,,,,,,,1889
Hausdorff-rúm,na,hk,Eintala,,,,,,,,Hausdorff space,,,,separated space,,,,1890
Hausdorff-vídd,na,kvk,Eintala,,,,,,,,Hausdorff dimension,,,,,,,,1891
haus eða sporður,,,,,,,,,,,heads or tails,,,,,,,,1888
háðar hendingar,na,kvk,Fleirtala,,,,,,,,dependent random variables,,,,dependent variates,,,,1760
háðir atburðir,na,kk,Fleirtala,,,,,,,,dependent events,,,,stochastically dependent events,,,,1761
háður,ls,kk,Eintala,,,,,,,"algebraically dependent, linearly dependent",dependent,,,,,,,,1762
háflötur,na,kk,Eintala,,,,,,,,hypersurface,,,,,,,,1806
hágildispunktur,na,kk,Eintala,,,,,,,,maximum point,,,,,,,,1808
hágildissetning,na,,Eintala,,,,"hágildislögmál, háalgildissetning, háalgildislögmál",,,,(for holomorphic functions) maximum principle,,,,"maximum modulus principle, principle of maximum",,,,1810
háíðalarúm,na,hk,Eintala,,,,,,,,maximal ideal space,,,,,,,,1815
háíðal,na,hk,Eintala,,,,óstækkanlegt íðal,,,,maximal ideal,,,,,,,,1814
hákeðja,na,kvk,Eintala,,,,óstækkanleg keðja,,,,maximal chain,,,,,,,,1816
hákeðjulögmál Hausdorffs,na,hk,Eintala,,,,,,,,Hausdorff maximal principle,,,,maximal chain principle,,,,1817
hálágmark,na,hk,Eintala,,,,,,,,minimax,,,,,,,,1818
hálágmarkslausn,na,kvk,Eintala,,,,,,,,minimax solution,,,,,,,,1819
hálágmarksleikáætlun,na,kvk,Eintala,,,,hálágmarksáætlun,,,,minimax strategy,,,,,,,,1820
hálágmarkslögmál,na,,Eintala,,,,fjalldalaregla,,,,maximum-minimum principle,,,,minimax principle,,,,1821
hálágmarkssetning,na,kvk,Eintala,,,,,,,,minimax theorem,,,,,,,,1822
hálfákveðinn,ls,kk,Eintala,,,,,,,,semidefinite,,,,,,,,1827
hálfás,na,kk,Eintala,,,,,,,,semi-axis,,,,,,,,1828
hálfbaugur,na,kk,Eintala,,,,,,,,semi-ring,,,,,,,,1829
hálfeinfaldur,ls,kk,Eintala,,,,,,,,semisimple,,,,,,,,1830
hálffirð,na,kvk,Eintala,,,,,,,,quasi-metric,,,,,,,,1831
hálffleygaður varpi,na,kk,Eintala,,,,,,,,half-exact functor,,,,,,,,1832
hálfgildingsfirð,na,kvk,Eintala,,,,gervifirð,,,,pseudo-metric,,,,semimetric,,,,1833
hálfgrúpa,na,kvk,Eintala,,,,,,,monoid,demigroup,,,,"hemigroup, semigroup",,,,1834
hálfgrúpumótun,na,kvk,Eintala,,,,,,,,semigroup homomorphism,,,,,,,,1835
hálfhliðarregla,na,kvk,Eintala,,,,,,,,half-side formula,,,,,,,,1836
hálfhornrækinn,ls,kk,Eintala,,,,,,,,quasi-conformal,,,,,,,,1837
hálfhringur,na,kk,Eintala,<ref idTerm=2276>Hringbogi</ref> milli endapunkta <ref idTerm=3325>miðstrengs</ref> <ref idTerm=2295>hrings</ref>.,,,,,,,semicircle,,,,,,,,1838
hálfhvel,na,hk,Eintala,,,,,,,,hemisphere,,,,,,,,1839
hálflína,na,kvk,Eintala,<ref idTerm=457>Bil</ref> sem hefur nákvæmlega einn endapunkt.,"Eftirfarandi myndir sýna mismunandi gerðir hálflína:\n\n\begin{center}\n\includegraphics[width=150px]{myndir/lokud_halflina_pos.png}\n\end{center}\n\begin{center}\n\includegraphics[width=150px]{myndir/opin_halflina_pos.png}\n\end{center}\n\begin{center}\n\includegraphics[width=150px]{myndir/lokud_halflina_neg.png}\n\end{center}\n\begin{center}\n\includegraphics[width=150px]{myndir/opin_halflina_neg.png}\n\end{center}\n\nÁ fyrstu myndinni má sjá hálflínuna \([a,\infty)\), á annarri myndinni hálflínuna \((a,\infty)\), á þriðju myndinni hálflínuna \((-\infty,a]\) og á seinustu myndinni hálflínuna \((-\infty,a)\).",,,,,,half-line,,,,ray,,,,1840
hálflínulegur,ls,kk,Eintala,,,,,,,,semilinear,,,,,,,,1841
hálflograpappír,na,kk,Eintala,,,,,,,,semilogarithmic paper,,,,,,,,1842
hálflokað bil,na,hk,Eintala,Samheiti fyrir <ref idTerm=1844>hálfopið bil</ref>.,,,,,,half-open interval,half-closed interval,,,,semi-closed interval,,,,1843
hálfopið bil,na,hk,Eintala,<ref idTerm=457>Bil</ref> með tvo endapunkta sem inniheldur nákvæmlega einn þeirra.,Eftirfarandi myndir sína hálfopin bil:\n\n\begin{center}\n\includegraphics[width=150px]{myndir/halfopid_bil.png}\n\includegraphics[width=150px]{myndir/halflokad_bil.png}\n\end{center}\n\nÁ fyrri myndinni inniheldur bilið einungis hægri endapunkt sinn og á síðari myndinni inniheldur bilið einungis vinstri endapunkt sinn.,,,,,half-closed interval,half-open interval,,,,semi-open interval,,,,1844
hálfrúm,na,hk,Eintala,,,,,,,,half-space,,,,,,,,1845
hálfsamfelldni,na,kvk,Eintala,,,,,,,,semicontinuity,,,,,,,,1846
hálfsamfelldur,ls,kk,Eintala,,,,,,,,semicontinuous,,,,,,,,1847
hálfsamfelldur að neðan,ls,kk,Eintala,,,,,,,,lower semi-continuous,,,,lower continuous,,,,1848
hálfsamfelldur að ofan,ls,kk,Eintala,,,,,,,,upper semi-continuous,,,,upper continuous,,,,1849
hálfslétta,na,kvk,Eintala,,,,,,,,half-plane,,,,,,,,1850
hálfstaðall,na,kk,Eintala,,,,hálfgildingsstaðall,,,,pseudonorm,,,,seminorm,,,,1851
hálfstig,na,hk,Eintala,,,,,,,"in-degree, out-degree",semi-degree,,,,,,,,1852
hálftvílínulegur,ls,kk,Eintala,,,,,,,,sesquilinear,,,,,,,,1853
hálfur langás,na,kk,Eintala,,,,,,,major axis,semimajor axis,,,,,,,,1854
hálfur meginás,na,kk,Eintala,,,,,,,transverse axis,semitransverse axis,,,,,,,,1855
hálfur miðstrengur,na,kk,Eintala,,,,,,,,(of a conic) semi-diameter,,,,,,,,1856
hálfur skammás,na,kk,Eintala,,,,,,,minor axis,semiminor axis,,,,,,,,1857
hálfur þverás,na,kk,Eintala,,,,,,,conjugate axis,semiconjugate axis,,,,,,,,1858
hálf lota,na,kvk,Eintala,,,,hálflota,,,,half-period,,,,,,,,1825
hálf-,,,,,,,næstum,,,,quasi-,,,,,,,,1826
hámarka,sag,,,,,,,,,,maximize,,,,,,,,1864
hámarkalágmörkun,na,kvk,Eintala,,,,,,,,minimax,,,,,,,,1865
hámarksleikáætlun,na,kvk,Eintala,,,,hámarksáætlun,,,optimum strategy,maximum strategy,,,,,,,,1866
hámarksskekkja,na,kvk,Eintala,,,,,,,,limit of error,,,,"maximum error, limiting error",,,,1867
hámarksstaðall,na,kk,Eintala,,,,,,,,supremum norm,,,,,,,,1868
hámörkun,na,kvk,Eintala,,,,,,,,maximization,,,,,,,,1875
háreisn,na,kvk,Eintala,,,,,,,,leptokurtosis,,,,peakedness,,,,1879
háreistur,ls,kk,Eintala,,,,,,,"kurtosis, mesokurtic, platikurtic",leptokurtic,,,,peaked,,,,1880
háslétta,na,kvk,Eintala,,,,,,,,hyperplane,,,,,,,,1882
hástak,na,hk,Eintala,,,,óstækkanlegt stak,,,,maximal element,,,,,,,,1883
háttargrind,na,kvk,Eintala,,,,,,,,modular lattice,,,,,,,,1884
háttarlögmál,na,hk,Eintala,,,,,,,,modular identity,,,,"modular axiom, modular law",,,,1885
háttarökfræði,na,kvk,Eintala,,,,,,,,modal logic,,,,,,,,1886
háttur,na,kk,Eintala,,,,,,,,modality,,,,mode,,,,1887
hávísir,na,kk,Eintala,,,,brjóstvísir,,,,superscript,,,,upper index,,,,1892
há-,,,,,,,óstækkanlegur,,,,maximal,,,,,,,,1758
hefja í annað veldi,sag,,,,,,,,,,square,,,,,,,,1894
hefja (í veldi),sag,,,,,,,,,,(to a power) raise,,,,,,,,1893
heilbaugur,na,kk,Eintala,,,,,,,,(in algebra) domain,,,,"domain of integrity, entire ring, integral domain, integral ring",,,,1898
heild,na,kvk,Eintala,,,,,,,,whole,,,,,,,,1899
heildajafna,na,kvk,Eintala,,,,tegurjafna,,,,integral equation,,,,,,,,1902
heildanlegur,ls,kk,Eintala,,,,tegranlegur,,,,integrable,,,,,,,,1903
